oos_period,actual
20,0.30000000000000004
21,0.7000000000000001
22,0.3999999999999999
23,-0.19999999999999996
24,0.30000000000000004
25,-0.30000000000000004
26,0.09999999999999987
27,0.6000000000000001
28,0.10000000000000009
29,-0.6000000000000001
30,-0.10000000000000009
31,-0.09999999999999987
32,-0.5
33,0.5
34,-0.6000000000000001
35,-0.39999999999999997
36,-0.6
37,0.0
38,1.6
39,0.5999999999999999
40,1.5
41,1.6
42,2.4000000000000004
43,1.1999999999999993
44,1.3000000000000007
45,-0.7000000000000011
46,-2.299999999999999
47,-1.4000000000000004
48,-1.2000000000000002
49,-1.4
