Method,Mean_MSFE,Median_MSFE,Rel_MSFE_vs_EW,Win_Freq
equal,0.3659939234345003,0.35315996765544944,0.99999999999723,0.95
graph_only_v2_softmax,0.3964407899306522,0.3898351846192283,1.083251838711233,0.05
full_gcsr_v2_softmax,0.397512776427782,0.381922700051743,1.0875875526099819,0.0
full_gcsr_softmax,0.39757028876102807,0.3824465964842353,1.0876612552782026,0.0
full_gcsr_pagerank,0.3977807992864838,0.3821538918577767,1.0883602632520262,0.0
full_gcsr_v2_pagerank,0.3984778425821853,0.3827860089832407,1.0902745619484702,0.0
full_gcsr_eigenvector,0.40077446251015064,0.3848493310298471,1.0966729302212916,0.0
full_gcsr_v2_eigenvector,0.4027904818266446,0.3870005918202786,1.102223350004932,0.0
var_error,0.4090669842476511,0.3886852615133212,1.1187064596695824,0.0
bates_granger_mv,0.4096045624946113,0.389078589127705,1.1200990780349531,0.0
graph_only_softmax,0.41794562298546395,0.4123000367156334,1.141638533625794,0.0
graph_only_pagerank,0.44419654801386016,0.4380248568939097,1.216958552200012,0.0
graph_only_v2_pagerank,0.4555246491594409,0.4391923347951001,1.2474386288728507,0.0
graph_only_eigenvector,0.836466012145791,0.8226112945209851,2.303022287453291,0.0
graph_only_v2_eigenvector,1.0003853121641446,0.9967373445456105,2.752969123879697,0.0
recent_best,1.2115779953238943,1.1601652854846267,3.3419433008961485,0.0
rs_selection_v2,1.2450239733084876,1.2632367211991913,3.433647892482815,0.0
rs_selection,1.2823041047719728,1.310372172126732,3.543365284372482,0.0
