method,mean_loss,mcs_pvalue,in_mcs,elimination_step
full_gcsr_eigenvector,8.366489625897337,1.0,True,0
full_gcsr_v2_eigenvector,8.699732406074638,1.0,True,0
full_gcsr_pagerank,8.464550733069244,1.0,True,0
full_gcsr_v2_pagerank,8.760755866069355,1.0,True,0
full_gcsr_softmax,8.415389537578296,1.0,True,0
full_gcsr_v2_softmax,8.577869599225426,1.0,True,0
graph_only_eigenvector,7.988213234039565,1.0,True,0
graph_only_v2_eigenvector,9.049052709247489,1.0,True,0
graph_only_pagerank,8.544310876687002,1.0,True,0
graph_only_v2_pagerank,8.876419736073379,1.0,True,0
graph_only_softmax,8.0426725625125,1.0,True,0
graph_only_v2_softmax,8.710999727574471,1.0,True,0
rs_selection,8.267424597416904,1.0,True,0
rs_selection_v2,9.253576103238325,1.0,True,0
bates_granger_mv,8.3205567070289,1.0,True,0
var_error,8.312007697509179,1.0,True,0
recent_best,8.633607069904993,1.0,True,0
equal,8.794594550452173,1.0,True,0
