Centrality,ewma,rolling,shrinkage
eigenvector,1.2003240935396575,1.143491407621943,1.1032897841846403
pagerank,1.188529719485464,1.13687144889308,1.0977923364989914
softmax,1.1872044847158345,1.137324291844283,1.0980770247888696
