Method,Mean_Loss,Median_Loss,Std_Loss,Total_Loss,Rel_MSFE,MCS_pvalue,In_MCS,Elimination_Step
rs_selection,0.6539381265809051,0.4968085982389481,0.6223155262525699,38.5823494682734,0.7442778075717128,1.0,True,0
graph_only_eigenvector,0.6546504428987656,0.5806338950029297,0.6429348654945843,38.62437613102717,0.7450885283506444,1.0,True,0
graph_only_softmax,0.7579519347461131,0.7000367128645018,0.6797614675586432,44.719164150020674,0.8626608257070041,1.0,True,0
graph_only_pagerank,0.7653910241970068,0.7048490535516191,0.696200317011808,45.1580704276234,0.8711276040791258,1.0,True,0
full_gcsr_pagerank,0.7682225709995119,0.7324159479710639,0.6531128369531464,45.3251316889712,0.8743503209701319,1.0,True,0
full_gcsr_softmax,0.7840018244672206,0.6714737384385958,0.656493132311918,46.25610764356601,0.8923094331532194,1.0,True,0
full_gcsr_eigenvector,0.7984040463826635,0.8099999999985605,0.6818554306584385,47.10583873657715,0.9087012808153713,1.0,True,0
rs_selection_v2,0.7984072965238808,0.8100000000000006,0.7261130595722602,47.106030494908964,0.9087049799542977,1.0,True,0
var_error,0.8702630490308093,0.8619017700216084,0.730704754877974,51.34551989281775,0.9904873990600535,1.0,True,0
recent_best,0.8784922372417238,0.8100000000000006,0.7171076999977072,51.8310419972617,0.9998534260750828,1.0,True,0
equal,0.8786210201721654,0.8483138897201361,0.7601114571328805,51.838640190157754,0.9999999999988619,0.035,False,2
bates_granger_mv,0.9262865575093229,0.8884403244423482,0.7266234628268328,54.65090689305005,1.0542503949276825,0.015,False,1
