replication,full_gcsr_eigenvector,full_gcsr_pagerank,full_gcsr_softmax,graph_only_eigenvector,graph_only_pagerank,graph_only_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best,equal
1,1.105416703207203,1.1164148391817088,1.1223984316180398,1.6238153810810325,1.1405496903333268,1.15725812196959,2.0166098646393076,2.0353632704051683,1.101759907499172,1.096736835409596,2.0996916258517566,0.9999999999984736
2,1.0843268735921412,1.059594201624282,1.0870716195974788,1.5319506196494372,1.1189241147461901,1.1439039057064637,1.944267221369258,1.8035418886852734,1.0625371368418461,1.0983792713907246,1.8075124806709106,0.999999999998987
3,1.0477402074048892,1.0497900017448185,1.0498968540604456,1.9940501774943424,1.2128994205380068,1.1090166100314698,3.068544429892086,3.0319202564738466,1.0497028190147544,1.0760863480981564,3.1771163595019765,0.9999999999973809
4,1.0746122317353297,1.0757031805860786,1.069135470292779,2.417718100423282,1.2659707271521146,1.203175376456669,3.228217099186614,3.7974483089672644,1.1122923895097434,1.1091264577773157,4.0031478654289065,0.9999999999969319
5,1.1167716855616703,1.1218950557452652,1.1235040108309169,1.8615842347720017,1.1418603420714852,1.1505883912004247,3.2285816360107598,2.585994355690522,1.1421243841370912,1.1554028361002955,2.6037098299297807,0.9999999999980913
