method,mean_loss,mcs_pvalue,in_mcs,elimination_step
full_gcsr_eigenvector,0.3378403645244967,1.0,True,0
full_gcsr_v2_eigenvector,0.33934396259114125,1.0,True,0
full_gcsr_pagerank,0.3384791259275627,1.0,True,0
full_gcsr_v2_pagerank,0.3393153321596128,1.0,True,0
full_gcsr_softmax,0.33894383950243473,1.0,True,0
full_gcsr_v2_softmax,0.3391682048089731,1.0,True,0
graph_only_eigenvector,0.7370011342844934,0.0,False,5
graph_only_v2_eigenvector,0.989599259631505,0.0,False,4
graph_only_pagerank,0.40133517647859474,1.0,True,0
graph_only_v2_pagerank,0.419220833532102,0.04,False,6
graph_only_softmax,0.36524355750326704,1.0,True,0
graph_only_v2_softmax,0.3614666476839608,1.0,True,0
rs_selection,1.3346300100427149,0.0,False,1
rs_selection_v2,1.3439398580390987,0.0,False,2
bates_granger_mv,0.3466194219174066,1.0,True,0
var_error,0.348599663204488,1.0,True,0
recent_best,1.146403727612304,0.0,False,3
equal,0.31167580926337196,1.0,True,0
