replication,full_gcsr_eigenvector,full_gcsr_v2_eigenvector,full_gcsr_pagerank,full_gcsr_v2_pagerank,full_gcsr_softmax,full_gcsr_v2_softmax,graph_only_eigenvector,graph_only_v2_eigenvector,graph_only_pagerank,graph_only_v2_pagerank,graph_only_softmax,graph_only_v2_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best,equal
1,0.9916704361210219,0.9867820675774082,1.0002121425266775,0.9996629075086478,0.9928475941709987,0.9909413089141981,1.8071802818826435,1.4624610633796955,0.8915534026309724,0.8346957623719682,1.5668344044709326,0.9682037639402923,1.8066227785324942,1.492262250587102,1.107182901769133,1.09866176458294,1.7286919336085456,0.9999999999983867
2,0.7374206528767654,0.7315549834782292,0.7437540732308985,0.741510202031093,0.739852049187904,0.7411256058871603,1.1479005861265066,0.743540702148812,0.9082450496553015,0.6582280477379686,1.5730305531417605,0.7510704813931978,2.185150038233446,1.0069200561980758,0.7207569430437947,0.7187788254001719,0.829764904702989,0.9999999999982238
3,0.4667159767634703,0.4683663535639432,0.4689591588044119,0.46920820881927805,0.46632671804785536,0.46663123802217876,0.6286190220735397,0.5931728478245762,0.6429913762708632,0.6197221091235624,0.6273726988382596,0.5005362551370308,0.729349985416671,0.6379074326135996,0.47286659238978845,0.46934487062783653,0.5175616152120233,0.9999999999987819
4,0.786096334600825,0.7790339520061692,0.7775653182570692,0.7762220178011826,0.7786646499657743,0.7736025427490257,1.466084540532632,1.2454362852448018,0.9373225395002556,0.8401673016745276,1.3345433382588574,0.7763154833841208,1.9241748268356338,1.2740565324702164,0.7783415568420571,0.7781326336279855,1.1169649359044733,0.9999999999979324
5,0.687216058162076,0.6718038738496603,0.6872212836201176,0.6869003915075291,0.6899327827531611,0.6930831970978484,1.2583507468388173,0.9147781960999714,0.9517993830268578,0.7298986516409113,1.1995849192240406,0.8818623893464815,1.576070831237646,0.9771274137418285,0.8067849608332454,0.8129336785914363,0.7732217558894152,0.9999999999985537
6,0.6015184213650138,0.6042876273042042,0.6040829289583283,0.6068765562132399,0.599713441663747,0.6039145414403556,0.9432276811379458,0.9810087576339892,0.6089276765979608,0.6356820271590458,0.8148022323670573,0.5790455086174063,1.524565206868127,1.1006401250369682,0.6214392569240103,0.6213611826304393,0.6610343930119713,0.9999999999973699
7,0.7961164428962338,0.7936901157083469,0.8048713242853114,0.8040314273913018,0.8026646098395341,0.8002092419254677,0.8431569916915049,0.7290604337020066,0.7760190550590761,0.7095388109264595,0.9476868436706789,0.6463686710693911,1.2128659946727272,0.7714555936094127,0.849905496477656,0.8489237965503732,0.7119452878888477,0.9999999999986082
8,0.6966180330749578,0.6955828492121534,0.6931871208962875,0.692532616277524,0.6889482179692159,0.6854316039753475,1.105886651009816,0.8513465166148704,0.8818728070902784,0.7718007281498638,1.0237955483755956,0.6327193693606805,1.4174477905575658,1.1138030764453182,0.7312450675299088,0.73860882757645,1.021354962877307,0.999999999997868
9,0.5561910058889233,0.5562677662418337,0.5577725187916479,0.557063806060636,0.5571037790588831,0.555495781283393,0.8129569389724297,0.7032048135206183,0.7055597382952511,0.6423551769627445,0.7780967188984582,0.5609492003024698,1.4362994656478494,0.8243191315974352,0.569231087237602,0.5687341438792569,0.7695419664848747,0.9999999999983356
10,0.7590016697494045,0.7644304628060969,0.765011040576615,0.7666056682047054,0.7634355640806243,0.7640079753590909,1.1265545871743872,1.252507500297537,0.8073522233045315,0.8369317689869434,1.1118545870593117,0.8343524920127959,1.572459650079362,0.9470945701331808,0.7833969636083513,0.7826243765603452,1.023082567238312,0.9999999999982918
11,0.48563915230047455,0.496050452215002,0.48568042839903003,0.48702494754945097,0.48258687864894245,0.4803691128095417,0.6832606953710021,0.5941981549970542,0.6520533283188608,0.574903314385997,1.0853422675564617,0.39780345686357527,1.4755728750815031,0.6382776351693232,0.5176920866510332,0.5171317109525569,0.6935158766679043,0.9999999999983706
12,0.516307879113235,0.5130618628427381,0.5130584896017577,0.5119477277189358,0.5105539238846222,0.5079336286809957,1.0548944571330219,0.7014786004186062,0.8256866092823079,0.6452564231192651,1.115723904740546,0.5030539429165105,1.2464197373186066,0.8005866886659699,0.5280269871645237,0.5249503630315534,0.7259401914418092,0.9999999999984216
13,0.6775906078511589,0.6762559506895994,0.6842011104574659,0.6836462938086405,0.6845523220367629,0.6844790764145773,1.5794843605574704,1.2329573633838484,0.7815708315361914,0.7225075625855574,1.4236484202365847,0.7031715905017684,1.6063545350741752,1.3393916214218247,0.7530218346128678,0.7489101807342146,0.9350207914450921,0.9999999999978608
14,0.6399542251999625,0.6257127062006137,0.6380055985083807,0.6340391107691942,0.6336264400392795,0.6344097093728848,1.174546041771737,0.7816171600682976,0.807738515224318,0.6540915996967958,0.9779423607887314,0.6260351623813474,1.6336957634481744,0.9543805104756452,0.6791835496986737,0.6755351922324339,0.7463303560857418,0.9999999999985711
15,0.9374567157549644,0.9315756465432374,0.937567555394391,0.9366884247072224,0.9258206876299411,0.9236877615617618,1.1561060016963611,0.7896764865592365,0.724800030932341,0.6810486571445785,1.2804565848997798,0.6627528766385891,1.442836820530123,0.8551858995254518,1.0725774463741742,1.073559976111945,0.5878437245534411,0.9999999999986054
16,0.6418746024021931,0.6357405912295272,0.6399542521150516,0.63758080941736,0.6358599256574746,0.6365286489897272,1.2328588858144183,0.9542045842970562,0.7344215417734963,0.6568493547887251,0.914641684417018,0.611960348201213,1.2647398737208229,1.0329920361979974,0.7026635210206517,0.7034280393074374,0.9321044584181252,0.9999999999980366
17,0.8299330278135048,0.8182088581780612,0.8299642374786336,0.823928851623877,0.827075971156064,0.8233504873282244,1.756274507485533,1.088435782822393,0.985499584003533,0.8117463719978797,1.0061978624907995,0.7447356336233834,1.9617047151809022,1.2113022613496889,0.8757007700389688,0.8761058377089038,1.37093255464833,0.9999999999978094
