iteration,method
1,full_gcsr_eigenvector
1,full_gcsr_v2_eigenvector
1,full_gcsr_pagerank
1,full_gcsr_v2_pagerank
1,full_gcsr_softmax
1,full_gcsr_v2_softmax
1,graph_only_eigenvector
1,graph_only_v2_eigenvector
1,graph_only_pagerank
1,graph_only_v2_pagerank
1,graph_only_softmax
1,graph_only_v2_softmax
1,rs_selection
1,rs_selection_v2
1,bates_granger_mv
1,var_error
1,recent_best
1,equal
2,full_gcsr_eigenvector
2,full_gcsr_v2_eigenvector
2,full_gcsr_pagerank
2,full_gcsr_v2_pagerank
2,full_gcsr_softmax
2,full_gcsr_v2_softmax
2,graph_only_eigenvector
2,graph_only_v2_eigenvector
2,graph_only_pagerank
2,graph_only_v2_pagerank
2,graph_only_softmax
2,graph_only_v2_softmax
2,rs_selection_v2
2,bates_granger_mv
2,var_error
2,recent_best
2,equal
