t,actual,common_shock
0,9.2,0.0
1,9.3,0.0
2,9.3,0.0
3,9.4,0.0
4,9.5,0.0
5,9.6,0.0
6,9.7,0.0
7,9.8,0.0
8,9.8,0.0
9,9.8,0.0
10,9.9,0.0
11,9.9,0.0
12,10.0,0.0
13,10.0,0.0
14,9.9,0.0
15,10.0,0.0
16,9.8,0.0
17,9.8,0.0
18,9.6,0.0
19,9.5,0.0
20,9.2,0.0
21,8.9,0.0
22,8.6,0.0
23,8.3,0.0
24,7.9,0.0
25,7.6,0.0
26,7.5,0.0
27,7.3,0.0
28,7.1,0.0
29,7.2,0.0
30,7.3,0.0
31,7.7,0.0
32,8.7,0.0
33,9.2,0.0
34,9.6,0.0
35,9.8,0.0
36,10.1,0.0
37,10.2,0.0
38,10.0,0.0
39,10.0,0.0
40,9.9,0.0
41,9.9,0.0
42,10.1,0.0
43,10.4,0.0
44,10.7,0.0
45,11.0,0.0
46,11.1,0.0
47,11.5,0.0
48,11.7,0.0
49,11.7,0.0
50,11.5,0.0
51,11.5,0.0
52,11.4,0.0
53,11.1,0.0
54,10.8,0.0
55,10.9,0.0
56,10.6,0.0
57,10.3,0.0
58,10.0,0.0
59,9.8,0.0
60,9.6,0.0
61,9.4,0.0
62,9.1,0.0
63,9.0,0.0
64,8.6,0.0
65,8.4,0.0
66,8.2,0.0
67,7.9,0.0
68,7.7,0.0
69,7.4,0.0
70,7.2,0.0
71,7.1,0.0
72,7.0,0.0
73,6.8,0.0
74,6.7,0.0
75,6.7,0.0
76,6.6,0.0
77,7.0,0.0
78,7.8,0.0
79,7.4,0.0
