oos_period,condition_number,trace
150,28.264828931079943,29.59512924706698
151,30.321375576506945,30.777124555003116
152,29.610221511948197,30.51429848526892
153,31.987886817662584,30.459206925093085
154,32.5085476196277,29.960048487177637
155,31.754983060602385,29.6876391040913
156,30.27681241647172,29.759439512489948
157,31.391918122543156,29.988145458795934
158,32.01561965144721,29.42600621371954
159,29.356253486933788,29.159933552368756
160,31.198486286627745,29.023651650504448
161,31.764714505707015,28.631935616443265
162,31.311398060578544,27.45316598607507
163,29.431084059878483,27.610967548938717
164,25.696685086710268,27.359747939965224
165,26.32737320615473,27.43289242695063
166,27.288955914535716,26.81435074710219
167,27.584189751405425,26.98724395849723
168,31.771751863811733,27.037868469418818
169,30.8065679354156,26.703500329184568
170,26.332440669273943,26.430984898970017
171,21.764619872380614,25.24982992897833
172,24.154951161785217,26.3577162835401
173,27.285163457345263,26.583734638955466
174,26.87579970525168,26.225711235716258
175,28.006393206645768,26.68010819555885
176,28.334372495331085,26.91156986047925
177,28.79131692576828,26.88236943418949
178,28.714179460963095,27.08842072066514
179,27.267792282183766,25.56346083405499
180,39.95545994611362,25.415725375487632
181,39.04898096255653,25.439168500626646
182,35.86589325612073,25.198540574647502
183,37.24843316085796,25.071429544515563
184,36.554369869574906,25.099492332898883
185,44.372704940217524,25.02791772296199
186,42.038173709460764,24.88317305059367
187,40.46827510639967,24.948220286882474
188,39.148033679437304,25.06640353255236
189,38.842844777004785,24.627259597664697
190,39.09989613547165,26.680717308781123
191,36.5794944772668,27.00684966132258
192,40.01916029928169,27.08531020386671
193,43.31537890387384,26.135924879796388
194,40.167699699983416,26.379545864036665
195,42.954161176172576,25.74560328932536
196,44.317142691366456,26.21114841051324
197,45.27948631129767,26.910938252813395
198,46.15000104312283,27.338117144886823
199,46.24408039763935,26.524594431964072
200,45.373709550575086,26.28316967035677
201,46.515650882120134,25.635795946389585
202,46.553453507861484,25.736549425587036
203,45.652633390506864,26.170897156827337
204,46.28270528665524,26.341342374321123
205,47.22146126414999,26.628830270782714
206,47.54137919636104,25.869398129933707
207,45.508262654745224,25.774437798228284
208,46.511902172207996,26.29100591784156
209,49.82594714823747,26.938068447006103
210,50.04949903120551,26.796834372004987
211,53.8619544669751,27.011538830486757
212,55.442404234271535,27.071428304790416
213,60.762850286677676,27.39267735725943
214,61.11390474405437,27.536871469829237
215,61.92581016588261,27.27707742851878
216,62.63591376915593,27.555735103075946
217,62.371055553045174,27.71720189908777
218,59.04924302937151,27.743407527052184
219,57.65229120980499,27.73003208583502
220,57.850052147996244,27.81556964860588
221,53.31260187814963,27.85842546116208
222,53.61834370951405,26.48485873975659
223,51.601893431827406,26.499210859922265
224,51.275283759806285,26.220998107850683
225,50.3806305748669,26.523673653935226
226,49.78108030316779,26.381600280414183
227,48.11413096113835,26.181954685178436
228,46.938711570836816,26.446405690507646
229,50.03196112075682,26.83809429557695
230,47.15453302795323,27.464660224773578
231,38.272348896718235,27.90769237046276
232,39.606807177703,27.83245144312368
233,44.75017061056651,29.38869448966122
234,42.334643566701125,29.277292879994754
235,44.256551645088436,29.2843999493787
236,43.21457970093545,29.38928443380364
237,41.62318242344304,28.779538690990794
238,39.27605195613115,29.19957094792138
239,26.597951788320344,29.875695035671534
240,22.499473907385084,28.326287428993282
241,22.454573296673008,28.111834457777864
242,20.787674029938852,30.21428456221375
243,20.51365169594892,29.923132094819398
244,19.051330955257146,29.205460125939315
245,13.920290754119085,29.772950417662326
246,14.794861838181841,30.564298456315772
247,13.993710565078725,29.868322883190096
248,13.030949805187747,29.620524040998912
249,12.978235003704638,29.350924245740615
250,13.500191083276727,29.77202461943952
251,13.096608969579112,29.405559201381116
252,16.475110988694016,30.336848431968896
253,15.290839725117998,29.8561848450989
254,16.58621431945498,30.86118907259997
255,16.24259686459205,30.693453310606138
256,16.12917490821512,31.451068067718104
257,17.29366713613966,31.880841341023807
258,13.558114334589844,33.409791132086255
259,12.895553105410078,32.860344088612635
260,12.734987945590687,33.204985403760475
261,6.252638971516328,35.22537620618227
262,6.163973091305128,35.15736116940042
263,6.270900903322078,35.670460049335404
264,5.975489176895805,37.38525835940597
265,6.057425074284374,37.449460209316356
266,5.969577074522092,39.44801258827445
267,6.92103886406154,40.080660174565274
268,6.906111494853698,40.41008879669984
269,6.690065981267852,41.94001527594103
270,6.744637077282112,42.646688521828466
271,7.256114516923728,43.371826166582295
272,7.108035611273047,43.706297385418075
273,6.88362610405467,43.83054221244679
274,8.051033245005824,43.75866695601556
275,9.997940082997063,44.41166809216363
276,10.188953617418399,44.43915956708832
277,10.312027342328545,45.27636912584403
278,11.709877682684802,46.07929091712644
279,11.86319118134699,46.475735825868334
280,11.402550114780063,45.47669578322479
281,11.465487096661796,45.71160599226695
282,11.315086535769026,46.180480721719036
283,10.833702528332354,44.70051241467421
284,16.45739457038578,45.07935586880798
285,17.1119652321207,45.54267905639513
286,16.64754847280768,45.49556767147917
287,16.6077978280565,45.583850941483256
288,16.82225803214182,45.763050530481166
289,19.27408407991181,46.1111274150836
290,19.290043017003377,46.062640930997176
291,20.88807378935867,46.475622837337944
292,20.898458272968448,44.80697825673617
293,21.701995009132467,45.30717548728383
294,22.379043562186634,45.278616161303
295,21.899841991978427,45.00594317963967
296,20.52237618266653,43.48829217902528
297,20.507792911339976,43.25973075889186
298,20.42966342461596,43.327641111031504
299,20.17606922070406,43.420967244965055
