oos_period,equal,var_error,full_gcsr_eigenvector,full_gcsr_v2_eigenvector,full_gcsr_pagerank,full_gcsr_v2_pagerank,full_gcsr_softmax,full_gcsr_v2_softmax,graph_only_eigenvector,graph_only_v2_eigenvector,graph_only_pagerank,graph_only_v2_pagerank,graph_only_softmax,graph_only_v2_softmax,rs_selection_v2,rs_selection,recent_best,bates_granger_mv
200,0.6197975451115219,0.20761529542646878,0.20769985505053046,0.20771366631526328,0.21028387425453907,0.21026762054961923,0.20588571714051318,0.206095052623112,0.053018839303113866,0.05224573498626461,0.14637468738424766,0.14588867641199765,0.0010389096286197192,0.00026025038150662643,0.05309467777926801,0.05309467777926801,0.20145635733750122,0.20205186714320486
201,0.005955303469036525,0.05490498968905231,0.006187702536654597,0.006196000435390975,0.007308864024580429,0.007316636089412044,0.007829862193580645,0.007496422516414813,0.1682938792157881,0.16819971778259066,0.042283911054988944,0.045261022192476005,0.17300405569999885,0.17183043236432582,0.1683024636467185,0.1683024636467185,0.13010219545949697,0.006051456130134282
202,1.7647100012145212,1.2992720092640524,1.1209477639926646,1.1211181795279272,1.1230960833745118,1.1228874032756173,1.1192116174335733,1.1201309243444724,0.8502784753564095,0.8515795010713654,1.4011985838950411,1.3938426865863447,0.9029735764236403,0.9314320954777364,0.8501657668272353,0.8501657668272353,1.5194426422649088,1.1928158238266833
203,1.8662437753463905,0.722046678873506,0.7577649204454779,0.7576467853806624,0.7396188651973331,0.7398694008451652,0.7287325868223831,0.7388630537575362,0.7459726622243938,0.7454441715161766,1.1496060101196062,1.1555403562569726,0.6374323566996815,0.6779546800514479,0.7460148824058479,0.7460148824058479,0.4690316991435044,0.669623181337011
204,0.35372059433308845,0.32039610080611014,0.4170552649340038,0.4169320483777489,0.4211341568049914,0.42125831791870527,0.4147681276344339,0.41606712408253443,0.1797857295708959,0.17967428557417495,0.3404988574128298,0.34813119458357095,0.21293434179588694,0.2740849738487394,0.17979527294153494,0.17979527294153494,0.11268141589286182,0.35266606222357094
205,0.31021661753726065,0.4143558185708341,0.38440557883324467,0.38376165616939667,0.34250017333542976,0.37394271412155433,0.37336195395644817,0.37530530546073243,0.43013699473820993,0.9624834312922956,0.1821286511859345,0.45432476741848904,0.46400533917109693,0.5406691107746183,0.9633087143460328,0.9633087143460328,0.7040099454126633,0.44204115361469176
206,0.019013998317853557,0.5568164599931249,0.4791016048041098,0.4791720249111058,0.48793476070985586,0.4882272011950164,0.4862485661541172,0.49241743194822474,0.4629408929656884,0.4631457415193614,0.17586885605785227,0.17628939793182766,0.5018604342223802,0.5331596114368158,0.46293029563869664,0.46293029563869664,0.5646225523839519,0.5262072211564505
207,0.9726667739877651,0.4046804115920879,0.01046987296498884,0.010439519361515538,0.0055944261189483264,0.005516661072731946,0.0066468863834806425,0.005382203580036746,1.0961394467678152,1.0906454396596559,0.7540403432899634,0.7207775907556255,0.45504431221852243,0.2707938971801524,1.096420391146776,1.096420391146776,0.0588040759394863,0.001490112910237721
208,0.1257137736798614,0.005433194727292549,0.006345095500554218,0.00634225670497887,0.008956688318671873,0.00899782124525372,0.008140676304706395,0.00881402143714433,0.9372560021044717,0.932725741180801,0.26008935478221334,0.25024869999141397,0.36412361394715476,0.22266945107265404,0.9374324490591683,0.9374324490591683,0.00014890561776737446,0.011049347627017685
209,0.7973373091576631,0.3206006376706568,0.3928071307674545,0.3926351358751988,0.40286765098000243,0.40278231051530955,0.39925437041335377,0.3988162721075192,0.0018162623410131705,0.0018812089365778143,0.4035249524727589,0.4072287891260192,0.12348489545126164,0.13748340736092993,0.0018122922892621048,0.0018122922892621048,0.13134913916813676,0.36289265813496346
210,3.1519274173161533,0.22850981180476237,0.4140873715605694,0.41384005455353345,0.40905337859776597,0.40941821123149313,0.38588737741533874,0.39285826859835965,0.23548788079369504,0.23442730311731544,0.6160178120445974,0.6188445319995188,0.010982685734618993,0.026828399899400245,0.23557912827706134,0.23557912827706134,0.0031795358032193615,0.3160922743172278
