Method,Mean_Loss,Median_Loss,Std_Loss,Total_Loss,Rel_MSFE
graph_only_pagerank,0.552624966598078,0.21320785560740546,0.9292892410365236,82.8937449897117,0.8915534026309724
equal,0.6198450535507927,0.23914755950062247,1.1109928004972993,92.9767580326189,0.9999999999983867
full_gcsr_pagerank,0.6363025174337734,0.18781854102258877,1.327712830004853,95.44537761506601,1.0265509320235393
full_gcsr_softmax,0.6374978009239104,0.21788967010412835,1.3287168517762549,95.62467013858655,1.0284792905436047
full_gcsr_eigenvector,0.6397114658211734,0.20385745473251216,1.33163673550616,95.95671987317601,1.03205061031873
bates_granger_mv,0.6620273249786639,0.20438531691930922,1.3720490253659112,99.30409874679958,1.0680529290105025
var_error,0.6810000603032204,0.21633909633187232,1.3393599351141903,102.15000904548305,1.0986617645829415
rs_selection_v2,0.9249713746284808,0.4065523340394627,1.7138554192098656,138.74570619427212,1.492262250587102
graph_only_softmax,0.9711945553460756,0.3733318761705171,2.1357645042171582,145.67918330191134,1.5668344044709313
recent_best,1.0715211441621408,0.17447173806459487,5.857886644953754,160.72817162432113,1.7286919336085456
rs_selection,1.1198261929073623,0.4573705858013428,2.09125665794868,167.97392893610436,1.8066227785324942
graph_only_eigenvector,1.120171758601291,0.4271952838068242,2.386458899317516,168.02576379019365,1.8071802818826435
