oos_period,actual
150,0.7612209896300318
151,0.7911716586296227
152,0.2308197022797698
153,0.08340432222740003
154,0.7294249257906017
155,0.9118542678701799
156,0.6276003007880194
157,-0.41100261861154025
158,0.14536744125447637
159,0.24441939549872777
160,-0.8727407340071704
161,0.2592168363239217
162,1.1697574045246597
163,0.3643130502141612
164,0.7748583347884117
165,0.13551227007743907
166,0.00083417573503939
167,0.20962024402116963
168,-0.3876956809671098
169,-0.4663786893892454
170,0.6442602927067603
171,0.7170326167337919
172,-0.4799502823204691
173,0.503430989103853
174,-0.03399647334753717
175,0.1884704157933618
176,0.2516597606274289
177,0.5225191184638625
178,0.05725408915727515
179,0.7133201067437654
180,0.17221803404621872
181,0.34731172761829826
182,-0.3766086262128494
183,1.1103779677004766
184,0.2693503091751634
185,0.4152112806886059
186,-0.7443561094825253
187,-0.3369958068223691
188,0.6858937550181595
189,0.20997660968873277
190,-0.8841631648107772
191,0.5958449501782239
192,-0.20285530329115886
193,0.7665994172522529
194,0.02690592904307363
195,0.18509261948168987
196,0.6873380013484683
197,-0.3328464685421583
198,-0.3791771926685711
199,0.01588500860702917
200,0.5412305280044786
201,-0.530663805294362
202,-0.7090670315188409
203,0.5264743752924145
204,-0.18195594249942043
205,-0.07835253929090008
206,-0.8109090333482485
207,-0.2112681559070546
208,0.1320282244032115
209,0.6142995340144172
210,-0.2558198389780819
211,0.9610172834276978
212,-0.2030019035544788
213,-0.21753565082404264
214,0.8861400695043461
215,0.21478651811411437
216,-0.16673894086303337
217,0.04798539773939885
218,0.8223146461473743
219,0.8707363916584526
220,-0.2654960352845805
221,0.12727162783241655
222,0.19744320442090468
223,-0.3367654683237883
224,0.1315494856340266
225,0.1789291433929382
226,0.7573971177791363
227,0.7804033534903863
228,0.020043350964087353
229,0.08659521195830004
230,0.5288676077880415
231,-0.08455852399825473
232,0.5042365166769428
233,0.16796787433439656
234,-0.271565765403536
235,-0.2854672738320456
236,0.91567644668427
237,0.10725385335252392
238,0.9937771600914032
239,-0.06887783436781217
240,0.3385849717407341
241,1.3890224218746627
242,-0.3416573454771219
243,-0.7589095272490832
244,0.8432071492775969
245,-0.22176212749802598
246,0.18124095942262786
247,-0.092684298761536
248,0.31499618565107323
249,-0.29492900604350997
250,0.08607613990223269
251,0.39961554854460246
252,-0.3344628434345146
253,-0.1789741690682551
254,0.016612701159650634
255,-0.5273428238935081
256,-0.021298488088801082
257,0.26932773744611416
258,0.004654840916723413
259,0.08688781873436505
260,0.21267845981320574
261,-0.0874234736910093
262,0.5934815517080495
263,0.969010414801323
264,0.018174849483845013
265,0.4867237469216307
266,0.1250739689650972
267,0.4365998337918733
268,1.0366148125642813
269,0.5048885904210851
270,-0.6386562758345824
271,0.484973575429568
272,0.8866592459115916
273,0.15275778412035196
274,0.7546873936038446
275,-0.08439419083437344
276,-0.4668306793719648
277,0.35798331288861773
278,-0.6033580790226585
279,0.15235401520378408
280,0.9063546174264363
281,-0.6946230919886082
282,-0.36344593711206313
283,-0.25393966822373315
284,0.2142278715687737
285,0.05474386706681306
286,0.9400435567637213
287,0.7238570786679339
288,0.49869387150499944
289,0.3356294096749531
290,0.44179828505308505
291,-0.17392441571242673
292,0.6825509855221039
293,-0.29476137533775404
294,0.6657149945253299
295,0.8411473156037207
296,0.3558710732942389
297,0.17388975314419156
298,0.44629869055393845
299,-1.1843079231658855
