oos_period,variant,row_model,col_model,adjacency
152,legacy,6,7,4543.541017808786
152,legacy,6,8,0.0
152,legacy,7,1,0.7046675052182061
152,legacy,7,2,0.0
152,legacy,7,3,1.1871680852639968
152,legacy,7,4,1.0875511806291025
152,legacy,7,5,0.0
152,legacy,7,6,0.0
152,legacy,7,7,0.0
152,legacy,7,8,0.0
152,legacy,8,1,0.9896331001466733
152,legacy,8,2,8881.12362678031
152,legacy,8,3,7.270659847799888
152,legacy,8,4,1.0968996956070423
152,legacy,8,5,3230.8619848459452
152,legacy,8,6,6216.107464252035
152,legacy,8,7,22600.69535460948
152,legacy,8,8,0.0
153,legacy,1,1,0.0
153,legacy,1,2,0.0
153,legacy,1,3,0.0
153,legacy,1,4,0.46645207521860127
153,legacy,1,5,0.0
153,legacy,1,6,0.0
153,legacy,1,7,0.0
153,legacy,1,8,0.0
153,legacy,2,1,0.696937046849373
153,legacy,2,2,0.0
153,legacy,2,3,1.2483451205142526
153,legacy,2,4,0.7202686538658186
153,legacy,2,5,0.0
153,legacy,2,6,2023.0609439314162
153,legacy,2,7,10510.193232184989
153,legacy,2,8,0.0
153,legacy,3,1,0.06107536555570247
153,legacy,3,2,0.0
153,legacy,3,3,0.0
153,legacy,3,4,0.27478362301561116
153,legacy,3,5,0.0
153,legacy,3,6,0.0
153,legacy,3,7,0.0
153,legacy,3,8,0.0
153,legacy,4,1,0.0
153,legacy,4,2,0.0
153,legacy,4,3,0.0
153,legacy,4,4,0.0
153,legacy,4,5,0.0
153,legacy,4,6,0.0
153,legacy,4,7,0.0
153,legacy,4,8,0.0
153,legacy,5,1,0.7243123410670689
153,legacy,5,2,0.4346895123403622
153,legacy,5,3,1.2565734149962233
153,legacy,5,4,0.7400431653127423
153,legacy,5,5,0.0
153,legacy,5,6,6777.363716764997
153,legacy,5,7,12346.600929395154
153,legacy,5,8,0.0
153,legacy,6,1,68041.42803942296
153,legacy,6,2,0.0
153,legacy,6,3,76148.16009207757
153,legacy,6,4,0.7762379658444285
153,legacy,6,5,0.0
153,legacy,6,6,0.0
153,legacy,6,7,6361.060406513653
153,legacy,6,8,0.0
153,legacy,7,1,0.5654659923421319
153,legacy,7,2,0.0
153,legacy,7,3,1.0821439684506102
153,legacy,7,4,0.6577044835062094
153,legacy,7,5,0.0
153,legacy,7,6,0.0
153,legacy,7,7,0.0
153,legacy,7,8,0.0
153,legacy,8,1,0.9586729123124967
153,legacy,8,2,6956.5291709585135
153,legacy,8,3,7.188877064632682
153,legacy,8,4,0.7949996659020165
153,legacy,8,5,4331.113901498184
153,legacy,8,6,6734.503392589154
153,legacy,8,7,17695.489511158932
153,legacy,8,8,0.0
154,legacy,1,1,0.0
154,legacy,1,2,0.0
154,legacy,1,3,0.19969009308536498
154,legacy,1,4,0.45723547043030227
154,legacy,1,5,0.0
154,legacy,1,6,0.0
154,legacy,1,7,0.0
154,legacy,1,8,0.0
154,legacy,2,1,0.5696580858036671
154,legacy,2,2,0.0
154,legacy,2,3,1.0597393759146059
154,legacy,2,4,1.0985354382151686
154,legacy,2,5,0.0
154,legacy,2,6,237.95044630297477
154,legacy,2,7,4387.545559205261
154,legacy,2,8,0.0
154,legacy,3,1,0.0
154,legacy,3,2,0.0
154,legacy,3,3,0.0
154,legacy,3,4,0.39049076716521247
154,legacy,3,5,0.0
154,legacy,3,6,0.0
154,legacy,3,7,0.0
154,legacy,3,8,0.0
154,legacy,4,1,0.0
154,legacy,4,2,0.0
154,legacy,4,3,0.0
154,legacy,4,4,0.0
154,legacy,4,5,0.0
