oos_period,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8
200,0.058331574417248594,0.128125942613565,0.3725324651035162,0.08048719379324154,0.07021319955262179,0.06329771123677617,0.09347666089777294,0.13353525238525785
201,0.05878211412202567,0.10411134388112148,0.3767728387955358,0.07816368275473394,0.07054591435688706,0.06374837374757147,0.09656059511435752,0.15131513722776713
202,0.05791748981693701,0.09737503375555565,0.3686351982770541,0.07824828048506142,0.06923496827470188,0.0626314443138848,0.1023188784378863,0.16363870663891877
203,0.05798133803296868,0.10008559048593006,0.3692361226632346,0.07704166749587071,0.0674248225772867,0.06281758589795437,0.10419307375127568,0.1612197990954792
204,0.057796128983544005,0.10063640867218543,0.3674929786686494,0.07639490049712641,0.06769381776228363,0.0628157493434689,0.1057938228212619,0.16137619325148025
205,0.057380199707637615,0.09416716067593388,0.3635783501895304,0.07631255628379999,0.06704283078856334,0.06243498060101573,0.11054500012190406,0.1685389216316149
206,0.05744100626954474,0.09275622024059116,0.364150647242774,0.07499234335099332,0.0654789766357843,0.06273591367022638,0.1173510608549081,0.165093831735178
207,0.05686017321468332,0.08999166241265276,0.168185579608548,0.07516990812410909,0.06506576514322317,0.06238151009140882,0.12366141820835536,0.35868398319701944
208,0.05572868378345601,0.08762205500939253,0.12418397552068315,0.07377005957564323,0.06447940579639568,0.061209965454953566,0.18497118395636053,0.3480346709031153
209,0.055935742674588756,0.08755466291704754,0.12408231673791197,0.07552166053974073,0.06509978371096108,0.06145138047867832,0.180370992474354,0.34998346046671763
210,0.05636459357908089,0.08747449373302871,0.11813163431691953,0.07529156093990984,0.06604426527528649,0.06170626192067368,0.1809674859613984,0.3540197042737025
211,0.055896604858157915,0.08695330885116673,0.11996781299187614,0.07502782242253593,0.06303389480245389,0.06144298552064,0.18806246600580082,0.34961510454736855
212,0.056082741561741804,0.08116822771386414,0.11807290903816195,0.0757865173740771,0.06409548413345008,0.061682747959730694,0.19174439281434538,0.35136697940462874
213,0.05637833356870554,0.08367065129281306,0.11239067171301677,0.07643670107394311,0.06265517325763158,0.06198642482235793,0.192333022448421,0.354149021823111
214,0.05683366968137042,0.0835587908630273,0.11391142004170325,0.07665030389851907,0.06274816004749476,0.06294561775735766,0.1849174995329235,0.358434538177604
215,0.058269370546275887,0.07514362940033323,0.10113827638088836,0.08275040103468015,0.06467696910270443,0.06490009967594462,0.18117423695304746,0.3719470169061259
216,0.057616854091616335,0.07524939902206,0.10141732837510484,0.07891265277395808,0.06273098742701108,0.06458157134267467,0.19368552139942127,0.3658056855681537
217,0.057948960792367825,0.07674405572427224,0.09445918162579785,0.08171056744485143,0.06412821353845374,0.0648867621703925,0.36893139569287364,0.19119086301099084
218,0.05893653270532351,0.07575965035549363,0.08546773703011373,0.08067728561894756,0.06613476694453331,0.0661810684987935,0.37822619016775066,0.18861676867904403
219,0.05945493123216606,0.072745787521524,0.08302483911779408,0.0755675182616356,0.06808823060727005,0.06668243906486539,0.3831052351262688,0.1913310190684761
220,0.05897794027620906,0.06995083708455527,0.08489240043346855,0.07881908965040331,0.06740038504040309,0.06625348091320024,0.3786159084819677,0.19508995811979277
221,0.05914861584311074,0.0703564324338601,0.07657235356104246,0.08100641058703244,0.06847595285652672,0.0666220512680695,0.3802222667586893,0.19759591669166884
222,0.05858277976778036,0.0692260270584969,0.07144749277069738,0.08098039965704801,0.06963036482816018,0.06606248178310255,0.20917370337913468,0.3748967507555798
223,0.05969205951123554,0.07369549822281374,0.06778809847338915,0.07818887555869056,0.07277867331403205,0.06746837586060148,0.3853370306939814,0.19505138836525604
224,0.05927463644973917,0.07136091661158925,0.06554222179062284,0.07833386552298036,0.07740287299320277,0.06624814135297807,0.20042900222251897,0.38140834305636856
225,0.05955199591162003,0.07242650472748893,0.06481718455969222,0.07939361343143934,0.07894361497330078,0.07022561995710272,0.1906226813888146,0.38401878505054143
226,0.05845215997046306,0.07222170574793906,0.06369028670747456,0.07508112159547407,0.08618447147935952,0.06727574200073251,0.20342712454125775,0.37366738795729937
227,0.05887591680947405,0.07433902620357595,0.06386547826786294,0.07502624044990348,0.07600016791902492,0.06774449186234396,0.20649299086923545,0.3776556876185792
228,0.05929244901065208,0.0738537967688732,0.0633395528510607,0.0768643913082622,0.07579676997614541,0.07098940330501377,0.19828764609150246,0.38157599068849024
229,0.05929861644248782,0.07442423686198514,0.06298831326113838,0.07664148260623294,0.07736318129140261,0.07034856940734656,0.19730156302363885,0.38163403710576776
230,0.05953650784620376,0.07395228921525228,0.06308281698708405,0.07983132946825122,0.0772707000738081,0.07093681896588694,0.19151652242041944,0.3838730150230942
231,0.05951215672009633,0.07482064437074647,0.06251048926006553,0.08629056550859429,0.07442566688663202,0.07079795608269777,0.18799869321731968,0.3836438279538479
232,0.059523484779594835,0.07603476264223015,0.06306671038963024,0.08723884939249629,0.07656513962819368,0.07124318022874127,0.18257742795469173,0.3837504449844219
233,0.05899788408634769,0.07615868223669187,0.06259668026676234,0.08367997535814914,0.08290917507182893,0.07109975988750784,0.18575422816238105,0.3788036149303312
234,0.058102513526955876,0.07438635124622074,0.06140891566502777,0.08438447139219295,0.08727294382102382,0.07042117588798541,0.19364703055983243,0.3703765979007611
235,0.058049074485781595,0.0738358898537814,0.060825669512385216,0.08013479522432213,0.09090880386677727,0.07121994191174064,0.36987364221912095,0.19515218292609082
236,0.05830650730158592,0.07413758457565907,0.0609868474670993,0.08197241293321589,0.09075892097053787,0.07125802491383681,0.372296539309044,0.19028316252902108
237,0.058153963231091337,0.07674551910193848,0.060853862392300416,0.0883929584378816,0.1006729163528703,0.06985113748751533,0.37086083041027135,0.17446881258613114
238,0.05812149081156357,0.07736174635536464,0.06049824812606585,0.09120852445249657,0.10079932640564175,0.06985210519011259,0.37055520763824534,0.17160335102050966
239,0.05985460835233482,0.07955734726761643,0.06240644032800479,0.0955021492110156,0.10826765637213234,0.07213047038393613,0.3868669021396218,0.13541442594533792
240,0.05868438818421335,0.08130140416460467,0.060697648920236685,0.09426094886864976,0.1391487445088655,0.07004072246056768,0.3758530652631845,0.1200130776296778
241,0.05937330370136765,0.08215394672567634,0.06084956737418962,0.09355079757936365,0.15318972956457844,0.07186554418991804,0.3823369760128719,0.09668013485203444
242,0.058480433984163825,0.07749607634034857,0.060057145864500935,0.11712468902777053,0.1530629193335947,0.07136445114964765,0.37393349632154194,0.08848078797843179
243,0.05934927797938992,0.08166476674210715,0.06098531029763254,0.09816530133215294,0.16037002625207444,0.07287144794255439,0.3821108515707286,0.08448301788336003
244,0.0589694609724962,0.08503942196651634,0.06035317299088844,0.1014414501375894,0.16683683746351366,0.0730602704071703,0.37853610327055254,0.07576328279127303
245,0.05978155171532782,0.08592539911521993,0.060525291167129756,0.09938430044975183,0.1595153151980405,0.0739449304208106,0.3861793102619088,0.07474390167181076
246,0.05698918488462487,0.08615392733721478,0.057774106624205276,0.10745907781260396,0.18389534217912534,0.07636441813990438,0.35989821067882233,0.07146573234349904
247,0.056314002086083864,0.08396725712410522,0.056757208439441056,0.10696932963554816,0.3535435490454951,0.07580183465946583,0.19651462048653645,0.07013219852332428
