method,oos_period,model,weight
full_gcsr_eigenvector,164,model_2,0.14662204096990292
full_gcsr_eigenvector,164,model_3,0.1919487033317061
full_gcsr_eigenvector,164,model_4,0.09525285338443461
full_gcsr_eigenvector,164,model_5,0.14739828902530466
full_gcsr_eigenvector,164,model_6,0.17896674136643265
full_gcsr_eigenvector,164,model_7,0.08228921534956551
full_gcsr_eigenvector,164,model_8,0.13098080892948957
full_gcsr_eigenvector,165,model_1,0.0
full_gcsr_eigenvector,165,model_2,0.1469787721307386
full_gcsr_eigenvector,165,model_3,0.10322848996018903
full_gcsr_eigenvector,165,model_4,0.27898941698067026
full_gcsr_eigenvector,165,model_5,0.07610858905222709
full_gcsr_eigenvector,165,model_6,0.22566189951478133
full_gcsr_eigenvector,165,model_7,0.04610575261951594
full_gcsr_eigenvector,165,model_8,0.12292707974087773
full_gcsr_eigenvector,166,model_1,0.01683712730624424
full_gcsr_eigenvector,166,model_2,0.1379598634853345
full_gcsr_eigenvector,166,model_3,0.20717126513877374
full_gcsr_eigenvector,166,model_4,0.11723089235275228
full_gcsr_eigenvector,166,model_5,0.14269510905154745
full_gcsr_eigenvector,166,model_6,0.215339755558382
full_gcsr_eigenvector,166,model_7,0.03457469295439753
full_gcsr_eigenvector,166,model_8,0.1281912941515682
full_gcsr_eigenvector,167,model_1,0.024717477721751514
full_gcsr_eigenvector,167,model_2,0.1260721438832176
full_gcsr_eigenvector,167,model_3,0.2030558941308953
full_gcsr_eigenvector,167,model_4,0.11524119318576606
full_gcsr_eigenvector,167,model_5,0.16327652885087263
full_gcsr_eigenvector,167,model_6,0.1993527721819021
full_gcsr_eigenvector,167,model_7,0.03597263305806807
full_gcsr_eigenvector,167,model_8,0.13231135698652668
full_gcsr_eigenvector,168,model_1,0.02030720902471422
full_gcsr_eigenvector,168,model_2,0.1102807686897329
full_gcsr_eigenvector,168,model_3,0.21157483919333187
full_gcsr_eigenvector,168,model_4,0.11137795580543937
full_gcsr_eigenvector,168,model_5,0.16472090545280596
full_gcsr_eigenvector,168,model_6,0.19743207100525903
full_gcsr_eigenvector,168,model_7,0.05167518708172303
full_gcsr_eigenvector,168,model_8,0.13263106374599362
full_gcsr_eigenvector,169,model_1,0.030000878318935664
full_gcsr_eigenvector,169,model_2,0.13445918791015224
full_gcsr_eigenvector,169,model_3,0.22048221449450878
full_gcsr_eigenvector,169,model_4,0.11910912612987834
full_gcsr_eigenvector,169,model_5,0.14294080035390955
full_gcsr_eigenvector,169,model_6,0.21624657622348914
full_gcsr_eigenvector,169,model_7,0.009976712488223521
full_gcsr_eigenvector,169,model_8,0.12678450407990277
full_gcsr_eigenvector,170,model_1,0.04673880413922479
full_gcsr_eigenvector,170,model_2,0.34247702121682577
full_gcsr_eigenvector,170,model_3,0.10117342206912587
full_gcsr_eigenvector,170,model_4,0.12267112992016924
full_gcsr_eigenvector,170,model_5,0.1233835365668156
full_gcsr_eigenvector,170,model_6,0.15948535687529644
full_gcsr_eigenvector,170,model_7,0.02364577973196753
full_gcsr_eigenvector,170,model_8,0.08042494947957458
full_gcsr_eigenvector,171,model_1,0.038150729248852086
full_gcsr_eigenvector,171,model_2,0.2836131552597306
full_gcsr_eigenvector,171,model_3,0.093820669547978
full_gcsr_eigenvector,171,model_4,0.1724830456994486
full_gcsr_eigenvector,171,model_5,0.10018323045279222
full_gcsr_eigenvector,171,model_6,0.24661347729977284
full_gcsr_eigenvector,171,model_7,8.825265003349208e-19
full_gcsr_eigenvector,171,model_8,0.06513569249042556
full_gcsr_eigenvector,172,model_1,0.0026590810568481458
full_gcsr_eigenvector,172,model_2,0.12142873879667088
full_gcsr_eigenvector,172,model_3,0.11833556618600408
full_gcsr_eigenvector,172,model_4,0.3353079833804016
full_gcsr_eigenvector,172,model_5,0.04642965701579907
full_gcsr_eigenvector,172,model_6,0.27633871075732214
full_gcsr_eigenvector,172,model_7,0.009686968605815027
full_gcsr_eigenvector,172,model_8,0.08981329420013906
full_gcsr_eigenvector,173,model_1,0.00390899788014152
full_gcsr_eigenvector,173,model_2,0.10509065119011307
full_gcsr_eigenvector,173,model_3,0.24039772370725979
full_gcsr_eigenvector,173,model_4,0.1404781959998439
full_gcsr_eigenvector,173,model_5,0.1367280257086238
full_gcsr_eigenvector,173,model_6,0.25157198656292834
full_gcsr_eigenvector,173,model_7,0.008696496745737643
full_gcsr_eigenvector,173,model_8,0.11312792220435187
full_gcsr_eigenvector,174,model_1,0.0030965368731549533
