oos_period,var_error,full_gcsr_eigenvector,full_gcsr_v2_eigenvector,full_gcsr_pagerank,full_gcsr_v2_pagerank,full_gcsr_softmax,full_gcsr_v2_softmax,graph_only_eigenvector,graph_only_v2_eigenvector,graph_only_pagerank,graph_only_v2_pagerank,graph_only_softmax,graph_only_v2_softmax,rs_selection_v2,rs_selection,recent_best,bates_granger_mv
200,-2.938369718941569,-1.6143502984368565,-1.611558476590827,-1.5816687784037855,-1.5371870938971368,-1.4341593279993643,-1.4955773850686265,-2.3409321190523094,-2.331652059981126,-1.0448306417237787,-1.184432859541444,-1.4665267529598436,-1.151239043923308,-2.35022114691187,-2.35022114691187,-2.1410547053055704,-1.4561111691530864
201,-0.9054970158763209,-0.4328953329577667,-0.42658801967257964,-0.4060034488421834,-0.3986804415634052,-0.40799150077454827,-0.4037035755517311,-0.9599488096277671,-0.9776499450540521,-0.7367106309968035,-0.7751207472071779,-1.0068982213507505,-1.018163494591626,-0.9319734696604066,-0.9319734696604066,-0.9413208134303547,-0.015501095635932494
202,2.7577453239773297,-0.025664289946965034,-0.02692432847649765,-0.022068321937212993,-0.022633814691221516,-0.024344550261121038,-0.026154346528421,0.037286323594181395,0.048188892833964075,-0.029253175184484184,-0.031249973305709493,-0.006003625204271612,0.007864593618156668,0.01983484537754983,0.01983484537754983,0.37519919231140614,-0.026686728732255454
203,-0.2568637212684616,-0.09085037500256193,-0.09184236316214911,-0.10434303069295453,-0.1047066339418079,-0.09819906982333979,-0.0944518033959921,0.6220213752124137,0.46282670142385535,0.019965521175070056,-0.027104295134981166,0.250949166072086,0.02848040376897365,1.2090663679728733,1.2090663679728733,0.10310164459607024,-0.07671266044794747
204,-0.1739927522184633,-0.36105558075545696,-0.36066255232960764,-0.3596843109368992,-0.35958683768038785,-0.360828650161274,-0.36090845818914646,0.2303296941637052,0.05704810053025927,-0.07009545622239427,-0.11881051833928191,-0.24044441221089183,-0.32112585902021856,0.8346971542888558,0.8346971542888558,0.17518209957730602,-0.3574928333075333
205,-0.762352935045082,-0.6839738574632874,-0.6840753609817725,-0.6937477158806528,-0.6969509838242115,-0.6706838164538947,-0.6771820424075097,2.4774926805800477,2.3079741574142685,0.7027179374660922,0.6045179610341355,1.6398987597200074,1.8577087706142579,3.106361097901854,3.106361097901854,3.106361097901854,-0.7610341795237224
206,-0.7949740999688378,-0.5082650643051918,-0.5165845613621263,-0.5259270337033839,-0.5278480572247368,-0.5259082573735221,-0.5245105537512404,6.243476812802505,2.98268802393923,1.3476819610851938,1.0163404302628631,0.24262282281616232,0.5648571660072191,9.304990621842087,9.304990621842087,9.304990621842087,-0.5557669704056568
207,-0.4735247229780768,-0.7736780261307095,-0.8043542960601027,-0.7298883684263071,-0.7427203266141036,-0.8589419381160259,-0.8193473663084401,-2.7623250541211375,-3.403452224018662,-1.726268590717902,-2.237620716224005,-3.615611590729927,-3.5777082309710546,-3.1988024956161007,-3.1988024956161007,-3.1988024956161007,-0.17206725507064702
208,-2.537356707923096,-1.7842603470225227,-1.795490695498075,-1.7680481746600418,-1.7681434884387688,-1.77630808968504,-1.7987679154287928,-3.312104686834778,-3.310660691397925,-2.6323557146555894,-2.546038190149585,-3.3047158819518487,-3.278061116446877,-1.0893855948651932,-1.0893855948651932,-1.0893855948651932,-2.0191896122085806
209,-5.04439818235118,-2.7191981938407386,-2.7198913222932766,-2.830999574490766,-2.831279233475507,-2.7132126933270277,-2.7126252982170103,-1.2071168629521525,-0.8836710633898432,-1.1980274939466113,-0.7856526538900681,-1.3726196399731352,-1.2699232757631407,-2.7709438128657413,-2.7709438128657413,-2.7709438128657413,-3.399549318476953
