oos_period,var_error,full_gcsr_eigenvector,full_gcsr_v2_eigenvector,full_gcsr_pagerank,full_gcsr_v2_pagerank,full_gcsr_softmax,full_gcsr_v2_softmax,graph_only_eigenvector,graph_only_v2_eigenvector,graph_only_pagerank,graph_only_v2_pagerank,graph_only_softmax,graph_only_v2_softmax,rs_selection_v2,rs_selection,recent_best,bates_granger_mv
200,-2.938369718941569,-1.6143502984368565,-1.611558476590827,-1.5816687784037855,-1.5371870938971368,-1.4341593279993643,-1.4955773850686265,-2.3409321190523094,-2.331652059981126,-1.0448306417237787,-1.184432859541444,-1.4665267529598436,-1.151239043923308,-2.35022114691187,-2.35022114691187,-2.1410547053055704,-1.4561111691530864
201,-3.8438667348178903,-2.047245631394623,-2.0381464962634066,-1.987672227245969,-1.9358675354605421,-1.8421508287739126,-1.8992809606203576,-3.300880928680076,-3.3093020050351782,-1.7815412727205822,-1.959553606748622,-2.473424974310594,-2.169402538514934,-3.282194616572277,-3.282194616572277,-3.082375518735925,-1.4716122647890189
202,-1.0861214108405606,-2.072909921341588,-2.0650708247399043,-2.009740549183182,-1.9585013501517636,-1.8664953790350336,-1.9254353071487786,-3.2635946050858946,-3.261113112201214,-1.8107944479050664,-1.9908035800543313,-2.4794285995148657,-2.1615379448967773,-3.262359771194727,-3.262359771194727,-2.707176326424519,-1.4982989935212743
203,-1.342985132109022,-2.16376029634415,-2.1569131879020533,-2.1140835798761364,-2.0632079840935713,-1.9646944488583733,-2.019887110544771,-2.641573229873481,-2.798286410777359,-1.7908289267299964,-2.0179078751893127,-2.2284794334427795,-2.133057541127804,-2.053293403221854,-2.053293403221854,-2.6040746818284486,-1.5750116539692218
204,-1.5169778843274853,-2.524815877099607,-2.5175757402316608,-2.4737678908130354,-2.422794821773959,-2.325523099019647,-2.3807955687339173,-2.411243535709776,-2.7412383102470996,-1.8609243829523907,-2.1367183935285947,-2.4689238456536713,-2.4541834001480223,-1.2185962489329984,-1.2185962489329984,-2.4288925822511427,-1.9325044872767552
205,-2.279330819372567,-3.2087897345628944,-3.201651101213433,-3.167515606693688,-3.119745805598171,-2.996206915473542,-3.057977611141427,0.06624914487027178,-0.43326415283283115,-1.1582064454862984,-1.5322004324944594,-0.8290250859336639,-0.5964746295337644,1.8877648489688554,1.8877648489688554,0.6774685156507112,-2.6935386668004777
206,-3.074304919341405,-3.7170547988680864,-3.7182356625755597,-3.693442640397072,-3.647593862822908,-3.522115172847064,-3.582488164892667,6.309725957672777,2.549423871106399,0.18947551559889542,-0.5158600022315962,-0.5864022631175015,-0.031617463526545264,11.192755470810942,11.192755470810942,9.982459137492798,-3.2493056372061346
207,-3.5478296423194817,-4.490732824998796,-4.522589958635662,-4.423331008823379,-4.390314189437012,-4.38105711096309,-4.401835531201107,3.5474009035516394,-0.854028352912263,-1.5367930751190066,-2.7534807184556014,-4.202013853847428,-3.6093256944976,7.9939529751948415,7.9939529751948415,6.783656641876697,-3.4213728922767817
208,-6.085186350242578,-6.274993172021318,-6.3180806541337375,-6.19137918348342,-6.158457677875781,-6.15736520064813,-6.2006034466299,0.2352962167168613,-4.1646890443101885,-4.169148789774596,-5.299518908605187,-7.5067297357992775,-6.887386810944477,6.904567380329649,6.904567380329649,5.6942710470115045,-5.440562504485362
209,-11.129584532593757,-8.994191365862058,-9.037971976427015,-9.022378757974186,-8.989736911351287,-8.870577893975158,-8.913228744846911,-0.9718206462352912,-5.048360107700032,-5.367176283721207,-6.085171562495255,-8.879349375772414,-8.157310086707618,4.133623567463907,4.133623567463907,2.9233272341457632,-8.840111822962315
210,-11.736741750181388,-9.828608250134081,-9.872044688849881,-9.857129594816403,-9.82431820666231,-9.706483559474387,-9.747979342372377,-1.7893437856065577,-5.894705875163129,-6.084134069835009,-6.7349180636760675,-9.427405086412836,-8.922773187957509,4.068362028515475,4.068362028515475,2.858065695197331,-9.683763468816133
211,-15.184819003104462,-13.37572532442093,-13.419343381515425,-13.386519734069806,-13.356064979048096,-13.251809315312295,-13.294338836620955,-6.6116078753452605,-10.684104975217664,-9.142782186980051,-9.741947482746204,-14.355537532516742,-13.810976622897165,-0.9670699764728772,-0.9670699764728772,-2.177366309791021,-13.705172993863131
212,-17.123814183694442,-15.269115072130221,-15.312926476689222,-15.296931842868196,-15.266102680207815,-15.144513177513513,-15.187071110842833,-4.493414945673665,-8.491959500430767,-8.686382502252364,-9.020251417957803,-12.393818444391144,-11.784222138753783,0.20116830139842246,0.20116830139842246,-1.0091280319197213,-15.63854172237981
213,-19.557318194805514,-17.709889953169828,-17.753428410653946,-17.740585157539616,-17.70978495618487,-17.584404488140528,-17.626856175627793,-4.511294700897821,-8.274427623346718,-8.807941448004694,-9.145032641960587,-12.066632229894665,-11.374007105370598,-1.9197578841941716,-1.9197578841941716,-3.130054217512315,-17.885325017426712
214,-24.586560463774994,-21.790134100144115,-21.858447574568622,-21.88717068222582,-21.859161267666124,-21.641136494900422,-21.714774770887434,-5.645442432628316,-10.324118182607764,-9.46764436629564,-9.90512478583313,-12.427576107440165,-13.020573227186208,-1.7952711753207937,-1.7952711753207937,-3.0055675086389373,-22.61282637243162
