oos_period,condition_number,trace
150,8.15736040790478,15.558449364745531
151,8.433362111309176,15.663604423213126
152,8.571314282458815,15.61500768453816
153,8.627050646762914,15.577013674571404
154,8.252670202144758,15.70944379757382
155,8.747267216869576,16.01708161231862
156,9.033074053435621,16.37195333199789
157,9.246658683552802,16.645155432895663
158,9.239149867171541,16.337984586927995
159,9.337692706285198,16.418500393342814
160,9.703069349082714,16.30974486182246
161,9.568343810628033,16.25153772690372
162,10.103060463726003,16.193559001609152
163,10.00599189919181,16.25567345947257
164,9.979405035170105,16.30847442906718
165,10.430908402485125,16.45945331932802
166,10.069300742107687,15.866439238035833
167,9.895550121247862,15.435439664852488
168,9.401171972033469,15.261842742706243
169,9.920631168811962,15.060435314168217
170,9.398083786066122,14.799688941849066
171,8.95804444724398,14.8672384668932
172,9.373852696774529,15.276198137540334
173,9.27446279893484,15.544347708603478
174,9.12292966862933,15.170171838858284
175,8.81272841430913,15.434756583605564
176,8.368962591717672,14.984239439092207
177,7.9184979769098645,14.622314855888344
178,7.45345325702523,14.300834389768266
179,6.83914208907674,13.765418539831503
180,6.728466011597569,14.023649267032383
181,6.546202416072258,14.031413207734934
182,6.243462217780047,13.696508955571904
183,5.815256285680032,13.423118171208012
184,5.851098960618192,13.242038771273617
185,6.004973489492956,13.334637197705831
186,5.83254750032348,13.153936225122454
187,5.622162265459585,13.650608196596323
188,5.3223015470810555,13.80700337278363
189,5.061307179079156,13.660347217435307
190,5.307576487987853,13.655535960350658
191,4.974124353966289,13.7350374079972
192,5.1993913901516695,13.787055893383577
193,5.1506072508095455,13.43352084746864
194,4.7887850804141685,13.869884902728558
195,5.706763666959176,13.844001443159707
196,5.847888192742276,13.621123635221842
197,6.295928549829495,14.277195450173476
198,6.250283353012719,14.215089020995098
199,6.67690217432564,14.224354844709657
200,7.39364243264937,14.138092773885429
201,7.762700175830447,14.417001737947844
202,8.727580133998137,15.150491344672016
203,9.035099742581846,15.391996154329782
204,9.123974112993519,15.405981183533008
205,9.07022123481725,15.34567481785038
206,9.468244553411248,15.346034329144926
207,9.562042613544586,15.72513896019464
208,9.524371464752315,15.82224440006262
209,9.122697933401005,15.755061517754704
210,9.211940789329034,16.033432302422852
211,9.385293501265634,15.994054431619393
212,9.728101941824308,16.771726793096107
213,11.368774389051145,17.080075741889
214,11.201638717850491,17.28062025051153
215,11.689851257108842,17.914873687841943
216,12.42641005183187,18.476869302186227
217,13.021621913561038,18.8888633368337
218,12.51905508923987,19.28592613693887
219,13.138778838814577,19.75368218172981
220,13.25291247195453,19.88096354601812
221,12.981841155964073,20.090788768735667
222,15.550777717215132,19.992431030616608
223,16.005191749217946,19.775527931490775
224,17.66639973933243,19.656341533546115
225,18.100957596086452,20.14531915432844
226,18.087804483393814,20.247318529049885
227,18.335089199427163,20.653225524319065
228,19.102313856960524,21.227047566579934
229,19.748425274219127,21.652251742904713
230,20.63260348025203,21.868560842461193
231,21.544691519249238,22.104222485644712
232,22.73749524786482,21.653824018660043
233,24.39394732197044,22.332904822619607
234,25.30763771528087,22.212489052009882
235,25.61726435807474,22.351381934224104
236,24.397149039160237,21.84205132257383
237,24.44005256228398,21.947213460353204
238,23.47809225499647,21.89095244174092
239,21.441958646924277,22.97994560497932
240,18.423742494570398,21.701772953311526
241,17.55704408621786,21.209550741083603
242,14.74816102650175,22.526068405047596
243,14.32910475023628,21.981422875573713
244,14.506084093438709,22.04776295070589
245,14.145224036366692,22.165484739417565
246,15.391540766872316,22.507621160106776
247,17.38346636366288,22.844836999498682
248,17.29899545014306,22.905820176091147
249,16.80097237341121,22.426180782901852
250,16.959452904297997,22.250579600100156
251,17.571352349280353,22.201065249988996
252,17.538941347056657,22.486850854863178
253,16.74323638971345,21.655281460184646
254,15.774343458916503,21.642283887645274
255,16.020300119299737,21.789281603743994
256,15.975623670091407,21.5174361541965
257,13.92493995895107,21.22947847567997
258,15.059919320190307,21.828401521596977
259,15.403073520505066,21.614761924106247
260,15.394015220795955,21.572966071031804
261,15.290181403088733,21.8259835461973
262,15.713458174310375,21.83140178328772
263,16.500927559372542,21.905439271603694
264,16.244300094249866,22.13048401835548
265,16.62979034611135,22.488915876520565
266,16.06895150973799,23.094857367095432
267,17.16296267452457,23.35524122892392
268,16.986724296810642,23.12964478653392
269,16.099218005242843,23.60171378492385
270,16.452389680700865,23.956505193024377
271,15.465176192355521,22.76092436725679
272,15.258062903228911,22.497746921313343
273,14.637336923141282,22.332005041910346
274,14.843926302382497,22.175749530861626
275,15.261182766623236,22.705261621670036
276,14.151984314850013,22.127288627244976
277,14.23510659147492,22.39521953123727
278,14.264856772834968,22.556810111134645
279,14.116330196452386,21.69747002231032
280,15.470570771317549,21.359699562177873
281,14.342579299241702,21.100201008161598
282,13.436451667329015,20.653845590341096
283,14.494687467420594,20.333369210353574
284,14.195728612503503,19.776687693136616
285,12.61297016746124,18.813282945835965
286,11.87675588322005,17.80234383003612
287,11.806444427772615,17.581900678078526
288,11.230981773407189,17.343658082949524
289,12.250601720235695,17.03098174326069
290,11.554708284921215,16.312241370388364
291,11.630240882992007,16.566698845838
292,12.046866439737355,16.461569325376832
293,11.756854936983368,16.22131860738341
294,10.738641331438176,15.492541569669536
295,10.084674326295035,15.384660906239343
296,9.522862280713522,14.707224814240547
297,9.647244125480409,14.354432751285104
298,9.321480654076254,14.349656779076357
299,8.553933903898901,14.511465779290464
