oos_period,equal,var_error,full_gcsr_eigenvector,full_gcsr_v2_eigenvector,full_gcsr_pagerank,full_gcsr_v2_pagerank,full_gcsr_softmax,full_gcsr_v2_softmax,graph_only_eigenvector,graph_only_v2_eigenvector,graph_only_pagerank,graph_only_v2_pagerank,graph_only_softmax,graph_only_v2_softmax,rs_selection_v2,rs_selection,recent_best,bates_granger_mv
200,-1.6489331409384018,-0.3846112324493389,-1.1215393080006062,-1.1226407472688567,-1.1343735272248279,-1.1516376794451437,-1.1907681532950183,-1.1675816685288039,-0.7918631323535386,-0.7968014671029359,-1.329290592849837,-1.2811681942965132,-1.1785994494899334,-1.2927564013216275,-0.7868938252343101,-0.7868938252343101,-0.8930447922574845,-1.1825274124707292
201,-1.138627934197309,0.23049249491170465,-0.8965759927691189,-0.9006440305497107,-0.9137748366572251,-0.9183938514626859,-0.9125161990970446,-0.9152283927243597,-0.38941850982996495,-0.35376057034774866,-0.6656122370757486,-0.6289544579435258,-0.2777387361683289,-0.23545663877260642,-0.4376283511464136,-0.4376283511464136,0.17562195636244382,-1.1309648554141343
202,-1.4460026494876967,0.46123854380081963,-1.0494071926877995,-1.0532482715335743,-1.038904538736239,-1.0405143475562393,-1.0454772195733812,-1.050890411508187,-1.5161603247267847,-1.5337670086193196,-1.3701001080675859,-1.3635080534590487,-1.4325988016895321,-1.462463761085581,-1.4856006690883916,-1.4856006690883916,-1.8698720630906092,-1.052517044693331
203,-1.6485052948013996,-1.2173547714484796,-1.5507257091370579,-1.5495307728289087,-1.5341661427868696,-1.5337103739078115,-1.5417902494711637,-1.5463708984340827,-2.0761431250039943,-1.9873773409271918,-1.6675927648890658,-1.6213956962196412,-1.8523956745951295,-1.6755281699706832,-2.3485986566382913,-2.3485986566382913,-0.5294579213215969,-1.56739702888619
204,-0.6786132078059393,0.389446911744578,-0.1964100145843013,-0.19787639898515674,-0.20145872684881083,-0.2018106051555938,-0.19725864589332598,-0.1969608086801231,-0.8436102511651259,-0.7233327870741636,-0.6187594347350209,-0.5730407424681749,-0.4351178313756018,-0.3033244643486295,-1.1647275549014142,-1.1647275549014142,0.6811820642774483,-0.2091653425371358
205,-1.1916141286357071,-0.1946900451839556,-0.6138844918640696,-0.6137169949769082,-0.5973071835280355,-0.5916613599660396,-0.6350687627724267,-0.6248891816451323,-2.114497688421417,-2.066877125969374,-1.5267568885794423,-1.4856834906759153,-1.865062417485794,-1.9336190316619253,-2.281128300948978,-2.281128300948978,-2.281128300948978,-0.4324554804899593
206,-1.601006535502228,-0.9010094801047234,-1.2612365154814968,-1.2539952298689123,-1.2457524566771887,-1.2440425411179639,-1.2457691439647665,-1.2470099532744254,-3.345103540016065,-2.638957732076648,-2.163069479009141,-2.04653408999382,-1.7248254036423671,-1.869458096744393,-3.8686685189602623,-3.8686685189602623,-3.8686685189602623,-1.2185756856322372
207,-2.0260745654367684,-1.8986645130991275,-1.812991067272626,-1.8039918877290826,-1.8257556882864696,-1.8220250155786166,-1.787859134772735,-1.7995761483364419,-1.0693270780410278,-0.6431149291856078,-1.5068540050648984,-1.3109003607568714,0.1758634899361322,-0.44510077571239154,0.5995970917064333,0.5995970917064333,0.5995970917064333,-1.9807776697795112
208,-1.8846630501705253,-0.9451799212922971,-1.3009095259630425,-1.2963595598360436,-1.307448496341033,-1.3074101532924802,-1.3041212764150902,-1.2950286258314367,-0.09301555650092108,-0.017024517633925984,-0.8894822807500224,-0.9402370796551637,-0.15507905009261513,0.12217515781600052,1.4266297786829307,1.4266297786829307,1.4266297786829307,-1.201942336509306
209,-2.032058183355997,-0.45349155543809394,-1.3709353313121775,-1.3707345220780938,-1.3382370166348796,-1.3381544336065025,-1.372668445448617,-1.3728384332544734,-1.7641818246424044,-1.8391688472175027,-1.7663252841826138,-1.8613923837444184,-1.7247665923690825,-1.749311119428873,-1.355879085234,-1.355879085234,-1.355879085234,-1.1610814534647425
210,-0.9785779200515236,0.4351585264459846,-0.17918565536251302,-0.18058574167197725,-0.17781163508200004,-0.17851114100791293,-0.17293476059690602,-0.17781262532511644,0.12143277578242745,-0.0021421024851068227,-0.42083544806269324,-0.5037475042232089,0.49193022154052846,0.23266171440741135,0.8285142865425799,0.8285142865425799,0.8285142865425799,0.018528498251983994
211,-1.754166829700105,-0.7701367275921763,-0.7302024751525771,-0.7301280433222892,-0.7374457017739562,-0.7364852469703648,-0.7309363598945531,-0.7305129017561496,0.027891245383333818,-0.0064057362525767325,-0.9162050837972058,-0.9344424554281329,0.1619141368440959,0.1058329403109996,0.47395641764730734,0.47395641764730734,0.47395641764730734,-0.5172461106084891
212,-1.5115728789217306,-0.11727308634435085,-0.33265566233206745,-0.3322025087476752,-0.28816870717766674,-0.28927232823388027,-0.33425549260635556,-0.33418945771707464,-2.133340728090382,-2.151615196135319,-1.6668010116988006,-1.7502571770587947,-2.094117055592837,-2.110513456965543,-1.88182921054284,-1.88182921054284,-1.88182921054284,-0.04406184768019594
213,-1.732237615579502,-0.061725698081363745,-0.23305918470574527,-0.23514306167005938,-0.20432009966801212,-0.20391225441501937,-0.23958379625101756,-0.24032838647146915,-1.7265097254327064,-1.8003156480231228,-1.6928712316974353,-1.6918138675999952,-1.8335777834823213,-1.8583279007706253,-0.7378228916206411,-0.7378228916206411,-0.7378228916206411,0.27652408256036687
214,-1.9445314209058644,-0.31904715649892607,-0.8046804905993683,-0.7944832539688875,-0.7771789332719141,-0.7760081071095424,-0.8142797198888884,-0.8015308736196676,-1.6905514438911393,-1.4606065963151762,-1.8003432772063461,-1.7775706653343228,-1.8667706128506885,-1.5651466801257574,-1.9707628294029256,-1.9707628294029256,-1.9707628294029256,-0.5017823148317233
215,-1.5671412063403367,-0.1788557028329486,-0.6734175829267854,-0.6933747214087105,-0.6519997525110901,-0.6536088598699311,-0.7073302973529201,-0.6994074453942487,-1.591304621448678,-1.9322111129949135,-1.5794448544850233,-1.646832643896213,-2.234120758123014,-2.0463401546573596,-2.3397922824037,-2.3397922824037,-2.3397922824037,-0.4237068042362224
216,-1.9067612408218928,-0.7560864978145878,-1.1927797538894995,-1.1970340264582238,-1.1520011266738384,-1.1534048525212346,-1.1769273535155187,-1.1908867914942558,-2.595551558482625,-2.7081005872892465,-2.216318037607783,-2.3012249838711125,-2.1504618812058016,-2.5018203365261016,-3.451091407045395,-3.451091407045395,-3.451091407045395,-0.9565027046810485
217,-2.1881527259502254,0.41160109140470014,-1.1039158281909642,-1.1003775250724366,-1.0615708580223928,-1.0613787303985065,-1.0978758258375287,-1.1015582809598417,-2.2011150110818223,-2.1205206296907977,-2.142985022805908,-2.0846878798848287,-2.037211531025066,-2.116744944339514,-2.2833518903573586,-2.2833518903573586,-1.2815482442510455,-0.8834915753955873
218,-2.3729322008076528,-0.5101877648687427,-1.4504769439614695,-1.4677527486019724,-1.4332852603532427,-1.4406427225080494,-1.4746554573068258,-1.4702372311583556,-1.7080233971466818,-2.140537110704612,-1.9189880160587456,-2.2023918205422386,-2.199827139599014,-2.1565588907969535,-2.2245763105900833,-2.2245763105900833,-1.8488610167108448,-1.2358861839762816
219,-1.6373629326265688,-0.39246241648083835,-1.1154753818454757,-1.1388393039387565,-1.0972210013594035,-1.104740068037158,-1.1330765184565437,-1.1387424929861458,-1.48243660004662,-1.9076076822635537,-1.4980216513091051,-1.632590615745642,-1.7745851287661687,-1.8988936445130724,-2.455700425847361,-2.455700425847361,-0.022266618090044488,-0.9970025245495934
220,-1.8910842521849573,0.11254398862771031,-1.2855481154446187,-1.2924168313695383,-1.268968192569956,-1.2696396862485726,-1.294263848024233,-1.2908390394127505,-1.544861272318059,-1.6250439646428823,-1.6880999887953607,-1.7138697713113347,-1.6555190593233333,-1.577766670244206,-1.9142345429435648,-1.9142345429435648,-1.0532506645571775,-1.2181588955929206
221,-2.242739499508494,0.5721366584809751,-1.078398791384449,-1.1049215731313495,-1.0619095915032362,-1.0724875325873142,-1.087367699831197,-1.1018411694874302,-2.0975042185967827,-2.2967736367788683,-2.160076204577212,-2.223365362678937,-2.037256367234318,-2.2756176274756754,-2.785659405537888,-1.6936719584283313,-1.6936719584283313,-0.9540465265830566
222,-2.3572610834397594,0.1483159058855914,-1.2098582576392567,-1.1933318755674756,-1.1777823833804746,-1.1784028517422658,-1.2041885349205497,-1.202129135526894,-2.716314938461426,-2.3000563725789656,-2.377104460178219,-2.3909143740743035,-2.585247777721757,-2.533985572479432,-3.6187233504210554,-3.6187233504210554,-3.6187233504210554,-1.071606472082155
223,-2.4740656034760646,-0.8457188092836616,-1.1592620902716226,-1.1598505846807572,-1.1183382989708939,-1.1249335964381957,-1.1640671757862024,-1.164484083613569,-3.2662247289208657,-3.2522937001421117,-2.5161072269962546,-2.6967325996658746,-3.3693819192796015,-3.383093230267162,-4.194803701400341,-4.194803701400341,-1.116112102222139,-0.9235671126922588
224,-2.598662118853526,0.2597329158533763,-0.8603064849551038,-0.8703706792765424,-0.8421797556448145,-0.8426172883634668,-0.8769360932341764,-0.872174942577328,-3.461179054531499,-2.709457526797907,-2.897995301606898,-2.546857639407196,-4.131583239798566,-2.5598660798990314,-2.39179654200153,-4.164225995990922,-2.39179654200153,-0.6886150420820725
225,-2.3315052368956075,0.2978390593415814,-0.6806237757821454,-0.6869167858930991,-0.6248595910195108,-0.6301188885694727,-0.7201322087047441,-0.7212322682629557,-3.466130551179279,-3.5927149915016643,-2.440156171040342,-2.5908341945044953,-4.163120292445155,-4.181058583599766,-4.19312685546059,-4.19312685546059,-4.19312685546059,-0.35727037952644913
226,-2.633313223383915,-0.6476119592216419,-1.2093093318677974,-1.2078959183022584,-1.17289077970438,-1.1797385797855178,-1.2184885894871924,-1.2124537930408432,-2.6198710323835677,-2.6699622805803402,-2.2773311372347287,-2.4637745577012335,-2.7020282180341497,-2.798857418904727,-2.6972979803289174,-2.6972979803289174,-2.6972979803289174,-1.2464773274156147
227,-2.441393653599521,0.1955480026364418,-0.5273658346555298,-0.5265844794599721,-0.5027212431219604,-0.5068509400741321,-0.5490810408431858,-0.5344937405927978,-3.0021521940815674,-2.917035630929684,-2.466301899183948,-2.5649908921691704,-3.774081698000019,-3.1941009736412793,-2.4502415241244493,-2.4502415241244493,-2.4502415241244493,-0.4198144904334984
228,-2.8685899747267425,-0.47488861470666877,-1.3903749536623808,-1.4019609259778076,-1.3874725226021147,-1.389879089369094,-1.4002160159759343,-1.4066727940537223,-2.445890939247038,-2.3916964981310107,-2.4957028718159493,-2.5132669321186247,-2.4592996656950947,-2.4088119258315777,-2.387921946874203,-2.387921946874203,-2.387921946874203,-1.3843450955841365
229,-2.968201089783192,-0.4332244463724655,-1.0362518644471805,-1.0370026389167342,-1.014382267855957,-1.0162075106175612,-1.036015236618514,-1.037525719967215,-3.2350227297158627,-3.2589969902708282,-2.9571255781391423,-3.0300963142870114,-3.1011433412038443,-3.1996320611215827,-3.0448806538212505,-3.0448806538212505,-3.0448806538212505,-0.9280538306117903
230,-2.657586608672172,0.0632466462266219,-0.37680742573384485,-0.3734337013780146,-0.361465914538322,-0.3605551030661393,-0.3762249081899508,-0.3713506439139547,-2.833822316945352,-2.687554072563151,-2.654077478608779,-2.576721940743176,-2.770717481874548,-2.605964867323679,-2.5697907190355767,-2.5697907190355767,-2.5697907190355767,-0.23746607893765442
231,-2.816436675815357,0.05996997756304712,-0.20819747876260075,-0.21111835179980698,-0.187985077109718,-0.19088133962583687,-0.21309564053116747,-0.21309217553475968,-3.381406678054796,-3.4264077374569455,-2.8206604183758355,-2.8888600299632907,-3.414578481391968,-3.4118206301986005,-3.4028843198470815,-3.4028843198470815,-3.4028843198470815,0.223091313381924
232,-2.580439589869915,0.6081220258970902,0.7745381760944589,0.7561469069665385,0.7720077735904034,0.7758914596497283,0.7507011609770711,0.7509210336132808,-3.0864145836797805,-3.714736200355156,-2.8724356749382007,-2.7877502986837794,-3.8563334409482524,-3.8522455387952474,-3.8569278606702357,-3.8569278606702357,-3.8569278606702357,1.294015271210071
233,-3.032073298844213,-0.6745974028947648,-0.2948287359461984,-0.3004333138108039,-0.28001157925261444,-0.2793907984384017,-0.31325955308414877,-0.31219188603892056,-3.8859805874746387,-4.0887997598022645,-3.139624637467495,-3.1403852775612804,-4.488515473394547,-4.455763507636138,-4.500423554184186,-4.500423554184186,-4.500423554184186,0.03852252490459593
234,-2.4175062052015184,0.3430061725673581,0.6401319434872416,0.6349340318080274,0.6475466507542589,0.64726095985961,0.6543365385024491,0.619792486712869,-3.309842977644342,-3.4525117326680785,-2.558283687818503,-2.5062742730671292,-2.8121998237374317,-3.9661413783021144,-4.375943177339563,-4.375943177339563,-4.375943177339563,0.9989419339919099
235,-3.490606845441844,-1.5204148465024552,-1.31228913136036,-1.3215829085369415,-1.3410172898855426,-1.3437718257089517,-1.311286674373442,-1.3287539201517284,-2.1604942116715176,-2.3823703241408336,-2.6349329402848625,-2.7724104732901385,-2.1512845802244307,-2.5533195121906287,-2.109335520292508,-2.109335520292508,-3.4414519189700767,-1.1201520271939551
236,-3.635274039825381,-1.1640403609248724,-1.1644145726070319,-1.1644738054541053,-1.166308665025969,-1.163424649299635,-1.1654636366022664,-1.1695341410147013,-3.9776027289658478,-3.9607597968511703,-3.659196933573031,-3.548986995362731,-4.001214051514719,-4.109344709366859,-3.9546943532961865,-3.9546943532961865,-4.678391792771108,-0.7264478234631297
237,-3.3128682390809705,-0.1800885825889985,-0.5772994567997788,-0.6098115539109668,-0.6079303011188776,-0.6212053395889016,-0.6075036193098016,-0.6133740573323041,-1.5827332209460372,-2.524080314738606,-2.237182841520118,-2.7153466749080173,-2.3789795514568475,-2.5730350681857455,-2.446061026551842,-2.446061026551842,-4.041658387307064,-0.29706065415711624
238,-3.381192197438906,-0.2641381172165554,-0.20546554157084967,-0.22893237670353256,-0.24404927700566448,-0.25153898307388134,-0.2190092549850315,-0.2229151187947751,-1.6446588020722082,-2.3394069778291113,-2.4783576018471076,-2.692714841698776,-1.9947864937360815,-2.120250502667648,-2.0242232192651928,-2.0242232192651928,-5.182140550702542,0.20495665938109278
239,-3.1851861986741485,-0.17701291931861235,-0.014695479732520778,-0.04032859132681893,-0.040323498048253026,-0.051114245976909556,-0.04596396830468985,-0.04545370167636542,-1.5232348356928378,-2.25656742270751,-2.147860342970771,-2.4821471184713975,-2.3627185352120614,-2.3527341139051425,-2.380821437926857,-2.380821437926857,-2.380821437926857,0.3666970180167784
240,-3.4422219002081422,0.1552024263654585,-0.11861260869791598,-0.12673910080716036,-0.15294791710920214,-0.15488953746817552,-0.14510075298399072,-0.13484946088751457,-1.703529282359589,-2.006430289131506,-2.400737524960196,-2.5452893705126813,-2.3679838107434814,-2.158739475202373,-2.512950252914056,-2.512950252914056,-2.512950252914056,0.28133731273441054
241,-3.8699566212352003,-1.0709128315086194,-1.2057172583299738,-1.2174011293023121,-1.2577167036730068,-1.2619267829038239,-1.245993545442499,-1.2450715729500108,-1.411421391485337,-1.723101413801097,-2.4921193403676165,-2.6706202621677226,-2.262608707440184,-2.2458584144501774,-2.3201890304865547,-2.3201890304865547,-2.3201890304865547,-0.9797396058909607
242,-2.9484875663172394,0.22030405522243854,0.0002611449195771831,-0.008831374001909698,-0.04967388665348066,-0.04043631226983618,-0.04943030971923992,-0.04792824524242803,-0.8451991474060289,-1.3219822235686167,-2.0275643208196343,-1.8505262636423345,-2.23446020296748,-2.2017459649588584,-2.2567704968492692,-2.2567704968492692,-2.2567704968492692,0.36294047452903627
243,-3.711530148225612,-0.7532988105007117,-0.6843153356586757,-0.7307894858650917,-0.7494988990060663,-0.7504271040707728,-0.7586590340669253,-0.7633240761801927,-1.1823431698459919,-2.758973857355594,-2.7771917550770264,-2.8596715610790295,-3.4264845549221135,-3.5384019486779943,-3.5985205488183256,-3.5985205488183256,-3.5985205488183256,-0.42989045700422795
244,-3.256532977662326,-0.5847846669789009,-0.8229201830294745,-0.802113034055346,-0.846779973847716,-0.8376304075143124,-0.83100858567831,-0.8272046295067748,-1.5351938251196104,-1.2047517300416652,-2.2306013411610266,-2.0725195859635615,-1.7091500126062722,-1.6494208994914514,-1.726121291852528,-1.726121291852528,-1.726121291852528,-0.5890026829584767
245,-3.626202770725471,-0.37155601282117,-1.5844120298133757,-1.587248975979508,-1.6234625567589804,-1.6249536295015465,-1.593351247199519,-1.6020997444914449,-1.4033763925559715,-1.5075819791471756,-2.406765532637212,-2.471212762531594,-1.734926647806283,-2.0032437430512244,-2.0032437430512244,-2.0032437430512244,-2.0032437430512244,-1.4212680371038444
246,-3.608496370432709,0.2632432174462554,-1.2379304712415302,-1.2164839470544702,-1.281914083153441,-1.276589859791906,-1.2154327633201614,-1.207849635975256,-0.863652512965214,-0.05821791350901456,-2.1635455214059145,-1.9725416638397755,-0.10335739636897093,0.16739340669841313,-1.6926462372105433,-1.6926462372105433,-1.6926462372105433,-1.1362755359824128
247,-4.034177683354097,-0.21792682727504492,-2.3602777157020047,-2.3304903862465123,-2.3994593929696624,-2.3945778539563225,-2.3280122479589216,-2.3546804707383373,-1.215202606885547,-0.2525622125621757,-2.072747865197387,-1.9124288189937237,-0.24755882369850069,-1.1576531463870336,1.5676449637469403,1.5676449637469403,-3.2102561762025434,-2.4188252141763757
248,-3.7968901780691833,-0.3382232312859832,-2.0764021527456222,-2.082825094461451,-2.182888883882378,-2.1839714824791416,-2.056015134891725,-2.0581117732346748,0.4358879158500259,0.23627352247987538,-1.7711393058535556,-1.8188864949675145,1.0482502178858881,0.9782035625896605,1.4633927042671202,1.4633927042671202,-3.032996526544334,-2.226080083227785
249,-3.700720296381433,-0.22910613608303204,-2.079201066481365,-2.0795262275586524,-2.1665887519267812,-2.1664196754304843,-2.0546458357609096,-2.0551397881136344,0.45867071779694013,0.45410633931283195,-1.8368506307236938,-1.8227825357226415,1.2770374423684854,1.259791031854684,1.4034376529643984,1.4034376529643984,-3.6141789482639246,-2.139642108319612
250,-3.8071488377243523,-0.49390454425045166,-1.6714423932436129,-1.6731459853091997,-1.7518882098965274,-1.7526855141384614,-1.6555630360871734,-1.6564039516097528,0.24939927260778486,0.1975262604555827,-1.965129678173834,-1.999358788983388,0.6782275586677387,0.6509905004952828,0.6912563673769619,0.6912563673769619,-2.643418307482907,-1.5557847087145422
251,-3.8735136927974816,0.6056322452838352,-1.6691108350600343,-1.6649604491326149,-1.7969488112800778,-1.795495004001346,-1.6367332881717878,-1.6369882754412177,2.7628513661592815,2.907033161913872,-1.1364147983954167,-1.081676480532784,3.7569222706949765,3.748971003298376,3.7845017519880857,3.7845017519880857,3.7845017519880857,-1.6771582990282106
252,-4.3189112454244745,-1.4833672524106902,-2.4224815610700823,-2.4270100979913405,-2.5627967580973348,-2.565251153337562,-2.383676946415024,-2.384681518765251,0.8168537940708427,0.8003785365411602,-2.2549652851885202,-2.2792208238183256,1.7630746976416747,1.7416026478228894,1.819899871823804,1.819899871823804,1.819899871823804,-2.3885149779997144
253,-4.4505253679721175,-0.15585225755625487,-2.283857911432494,-2.276121397369911,-2.4147889500083983,-2.412954589781833,-2.253888968823014,-2.2511889719417026,0.9848931525149514,1.0673685815027543,-2.0397514648549335,-2.0717044819529518,1.427171355739268,1.459693766717855,1.4662555703790683,1.4662555703790683,1.4662555703790683,-2.0457452672604064
254,-4.67226522380683,-0.6364024242025665,-3.156750063239219,-3.1601609639512493,-3.2770540897732405,-3.276663201211983,-3.149439191571859,-3.1495262079539694,1.9584863974092415,1.9017964364460491,-1.932070496155958,-1.9123651375566206,2.0386002814014215,2.003879003696326,2.0121868976296176,2.0121868976296176,2.0121868976296176,-2.9839573321456085
255,-4.574638455267703,-1.0444114150295603,-2.422261029564974,-2.4152759785669065,-2.5394583486110887,-2.5386922568521313,-2.3948112877259007,-2.394039958049876,1.0662005762946818,1.1892359214665316,-2.142488455995667,-2.1272967440413364,1.534578870824142,1.543465098212689,1.5465368098010228,1.5465368098010228,1.5465368098010228,-2.2138558946343223
256,-4.547192757486413,-0.7576961217545696,-2.1960887240998788,-2.1988782062348258,-2.3112624665337758,-2.3102150859864343,-2.1860421099599474,-2.1860616598179057,0.956734423850844,0.9557044569450804,-2.138906980743492,-2.0984679939234776,1.02933998854058,1.029518143356599,1.0265867896438108,1.0265867896438108,1.0265867896438108,-2.0529075564006414
257,-4.31415218893229,-1.2050063612283475,-2.2013324582000915,-2.198476450194217,-2.2626829184454946,-2.2602548784913647,-2.1998298634787927,-2.200015554786727,-0.17451432848440418,-0.029994155575542608,-2.465279911680656,-2.359654613894911,-0.09908120278865244,-0.10846802804650217,-0.1134097587919296,-0.1134097587919296,-0.1134097587919296,-2.2067611664067615
