oos_period,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8
200,8.854057713223137,3.9684566597456694,0.932155492107483,-3.5576637367293125,-3.2816719725353565,5.496947589362544,0.9029702581877788,1.0383064591306574
201,8.905509999258333,1.3496772617152113,0.3142463026193342,-3.6764303806328344,-5.049490050832522,6.800017297014304,-0.22255933889046742,-0.2990040048895232
202,5.963303419573846,1.2277772201420725,0.2702515018386331,-3.9035803323681817,-5.601363418273298,4.061184693822559,-0.8268681226729769,0.6545228958408507
203,7.531058657267953,-0.20426018280785008,1.2135503462014217,-3.9033470347769414,-4.257103521951681,3.482097149451997,0.8512508506466145,-0.6055903891152727
204,7.182017856898473,3.736299205880919,1.101597102760028,-3.9498643882165076,-5.077589823970287,4.735165576195402,-2.05945096781277,-0.7443125164188346
205,7.433465152258349,3.8002377116808237,1.9703287661038484,-4.884616657494078,-5.948830104800905,3.145007995658819,0.14951596146207147,1.381407925455693
206,6.8612429179598395,3.955168027942585,3.185501542657554,-4.156783267172754,-5.1640344314191005,3.3624718169618615,0.06278581480605394,-0.7636359481398811
207,8.85785172467543,3.575165668958134,3.9745375695271608,-1.4097924920982394,-4.828369114112854,5.635858332071209,0.274249740588726,-0.7036959753622929
208,8.456449401693952,3.056816995134689,3.3329833839744962,-1.5835295921223438,-4.239287196336899,5.399897267969538,1.6289560285154157,-1.4911509059998282
209,9.75336416512978,3.8463607988137882,4.263928124539927,-3.9894898765727316,-4.035865288929978,4.970421230768481,2.5768894150414,1.7108822548306697
210,6.876457793902116,2.1940937949138766,2.5703844049233298,-2.615690877181165,-4.483671634032944,2.5360748292894137,1.1806660265254356,-0.8854890449161091
211,9.08145111856528,4.632363850740882,3.1920837594253393,-3.395674760844549,-2.810449245188591,6.346796844910944,0.8897842821857578,0.015909981573680954
212,6.205423970628849,2.2091125698655785,3.2812762141284364,-3.3327312104573665,-5.540047792815664,4.244120696165922,2.3099440544150625,1.7627355935570987
213,7.136953475147385,4.162500877231365,3.607029903906148,-4.814573761155081,-4.998624843028231,3.6060734065720697,3.2404425734098514,0.5692119772018029
214,7.47493168983284,6.165044166748389,5.055188005329221,-2.389353185757743,-3.686093712630287,3.9341339148962593,-0.061900377839889886,2.385971681222183
215,6.573415240686441,3.1176829583883894,3.211697378228628,-4.723245545056692,-4.998620866337874,2.919691610558531,-0.09274346858334725,1.741297988055855
216,8.185434833495513,4.741219274699758,5.40851723726594,-3.6311344630931317,-2.9864691041332843,6.333520512171379,2.8404891485700157,4.749459824109173
217,7.812452499823658,5.157204266636424,5.919570893771809,-5.228634502975963,-4.511164598307076,5.35302768211586,2.377040985035911,1.375237338929598
218,6.730049319436861,5.402561718978899,4.933930214582018,-4.745502723508777,-2.095924243811101,5.341209372724888,2.3339602071304983,1.95824491325126
219,8.308861116851519,4.607155909052548,3.2752304431149586,-3.5390672876172093,-4.254348578388377,3.3240271149845286,2.6391874760011644,0.2057536682438479
220,8.511384495294488,3.6682793813757453,5.322511390065875,-3.550490789460554,-3.194725206421125,6.545536386863478,2.77111901756673,1.9101351391803427
221,8.04940177782649,5.247679326067253,5.994199348625426,-4.864465100265814,-5.020977660719986,5.974562951911012,3.10529540742833,2.013307960318773
222,5.353400288209764,2.5811992868341616,5.9740534300201595,-4.853072670664765,-4.064225757045692,4.28525607599572,-0.20389669228599305,2.7377731567019605
223,10.039190042357218,6.061901262041067,6.149257189084376,-4.270416983972809,-3.9209156330344443,4.2632895030690445,4.834919760626743,1.7562281614485413
224,7.894497199994756,3.6215753459559137,7.094215148014177,-4.552580183273059,-4.587242564850769,3.3751131344062104,3.9329432738928336,2.160513819903442
225,8.923323005324201,4.0424274932903,5.45735043477609,-5.591120584321337,-3.593594012201108,3.7936917604018285,1.3476436864669716,4.181813533179543
226,6.547759879496143,2.8476399755131685,6.017030514667658,-3.7618840327677034,-5.719248001135236,5.177748742263459,2.2963627591613527,1.988183984679837
227,7.381424673198881,5.274304886871288,7.532468378598594,-4.180428893525095,-4.817105357240737,2.551581469216966,4.609048053091415,2.631725167772963
228,8.652117235405454,2.9726572258474135,7.36221175351632,-4.008624870470138,-3.7554353411505494,4.292387476331778,2.2333119372955177,1.9861830277079258
229,8.014791867331631,5.632839942976666,6.208341147382516,-4.23338312280378,-5.049312908339948,5.312912236497971,4.575369431264114,3.0107135866590915
230,6.593822753604821,3.874006659407413,7.087861827612189,-3.5931993424873983,-5.7534971956176015,5.440165104860391,3.5345029987401126,2.3544708127181666
231,10.923364373471973,3.7695027096130285,7.496747743346219,-4.2128012465772775,-3.3841692773463556,5.698141767692127,4.971969543312302,4.279190966537973
232,10.134083429484638,4.492405222512122,7.469242158857144,-4.733778045817601,-3.0990388728376224,4.656603985279661,4.210490653509189,4.763130671055729
233,7.790815851183243,4.334417902358585,7.182899483322466,-3.0961884677933345,-2.763187162903913,3.952208392387792,2.0040172190499836,4.45025503718923
234,7.656235938648393,4.398008867475042,7.5912669535489785,-5.503772029519849,-4.350858501018148,3.7701098945962377,0.9624043210929784,4.312984460275427
235,9.17987316864386,4.269712546398388,7.760260902107079,-1.8747451700210815,-3.441155264968132,4.911202739199661,1.8478491198071085,3.1799655184846776
236,9.650666667939023,3.5932003019508345,7.643146216339795,-2.6245411184400567,-2.295610802401827,7.326157165960604,4.428679729764957,5.152377169239878
237,8.354932030293206,4.338093456366103,8.276552923448053,-2.796853500225075,-3.552493549313636,3.9425946344540685,2.2039942759241518,3.7995916366793736
238,10.003384249238469,3.9623474917678143,8.206029865986514,-3.51300291820272,-3.370311732418239,2.859361089999551,1.741662258736505,4.899579590173854
239,8.583780811385171,3.375191384185574,9.425461294722714,-3.9459541728824212,-2.3081117423515747,6.38614563040294,2.805486837114657,4.556812740318526
240,8.806957948597324,3.2526013857113574,8.733145213765429,-4.343357473277995,-3.043649091469248,4.014131933178436,2.1819085119936457,5.287702845802907
241,9.796345346345612,5.6615419359081205,7.860190115935916,-2.1366282758559736,-2.8080531712979813,4.022437074994198,2.2493931658372674,5.748059860820144
242,8.272820368942861,1.036720559934706,6.10822922788045,-4.960200301114454,-3.6119964677163026,4.546454787846029,1.419387465797969,4.077420640556251
243,8.903108097180118,4.523040368171248,9.294333207480127,-2.8310128231608296,-2.2342156537994295,4.140985285049524,3.921496892484428,6.558316561728528
244,8.56108101335469,2.0720259355365647,9.44667538840063,-0.564156920305737,-0.44335829584856534,4.6861602841663155,2.6726592079765275,7.193480537010181
245,9.80870024644693,3.7878236404326397,8.571610101668787,-1.9951515005173248,-0.11950688483898064,3.871442657889159,2.3596072311830163,5.576004578593879
246,9.794652873518915,4.8543570204949225,10.761345897042611,-2.8545619953391776,-1.5684458306089255,4.296914536365933,2.4283074111184684,7.040690442132325
247,9.753520262123926,3.098995635559663,9.425142519998365,-3.6147550931250114,-2.003991942959016,4.584419479326127,2.773909196990468,4.765405575221657
248,8.950619152112234,3.412882574962902,9.033177810078294,-2.476517675434123,-1.3324154475925516,4.811992371631042,3.163973783218903,5.859226908973317
249,7.7513067338474855,1.8964757787885262,8.349705835799686,-3.0025962803922575,-1.8679459405733971,4.706590742536135,3.149670660654926,4.906488539518372
250,9.681079778689986,3.1340862285581457,8.521252704627978,-1.4982702805549053,-0.7831120254399199,2.2949995778909225,2.5515626494199495,5.8207468040990005
251,10.624488114182823,4.227993779152849,9.995210428053245,-2.1015686898670056,-3.3761009641529256,4.019310294022309,3.1868104610843595,7.679172422585483
252,10.798213469711781,2.6147654114787904,9.356638992670023,2.5416862775298554,-1.736083613537221,1.9314582723716323,5.50639955041974,4.2087416690438575
253,12.437962140010676,2.208047127741851,9.071825708677302,-0.16034398935993543,-2.1465549190534032,1.8962321370886452,2.40805874831838,4.446581200958744
254,10.21028538665545,5.098194552184126,8.435646849330764,-4.104565418863531,-2.637422842341323,5.0629337185618155,4.338628548549907,5.972533438683791
255,11.435837750278695,3.224512674761017,8.698631418482227,-0.828877538476622,-2.207372072943182,2.3572133083859694,3.33346506559842,5.297014930917827
256,12.813446830608761,4.639467561530509,10.032171301641377,-1.3448215895771507,-0.7353237609548892,3.5323810683712673,3.9747637591200373,5.795561118662763
