graph_only_eigenvector,full_gcsr_eigenvector_rolling,graph_only_pagerank,full_gcsr_pagerank_rolling,graph_only_softmax,full_gcsr_softmax_rolling,full_gcsr_eigenvector_ewma,full_gcsr_pagerank_ewma,full_gcsr_softmax_ewma,full_gcsr_eigenvector_shrinkage,full_gcsr_pagerank_shrinkage,full_gcsr_softmax_shrinkage,full_gcsr_eigenvector_diagonal,full_gcsr_pagerank_diagonal,full_gcsr_softmax_diagonal
0.09523111330486933,0.08999999999963998,0.4703538417397218,0.09587973283922009,0.2815666546776563,0.08999999999963998,0.08999999999964005,0.08999999999963998,0.08999999999963991,0.12205007089008793,0.13929388397786457,0.12775558758952738,0.5082215366637393,0.5462728619098978,0.5291692817963967
7.012872404785039e-06,0.0030027024103155965,0.05592469874501994,8.419117948706733e-05,0.1319548053450161,0.0017069223460696031,0.005547967550630282,0.00012475026466231056,0.0004260142731051707,0.002097210896039313,0.008442364819358877,0.01323331529663111,0.049763562121092175,0.059567769148111405,0.06412717925802977
0.2813317400511058,0.2281248958454122,0.050856920132950664,0.2400371550156154,0.22158412212102574,0.24026407141201161,0.48999999999957994,0.48999999999957966,0.4899999999995798,0.11711493716920035,0.14932004811696148,0.12407730565707689,0.0030771716175264294,0.005920706598703173,0.0036766032667615175
0.08975633930217647,0.05041022595730994,0.01251952306804504,0.048185218748646196,0.018866659157346248,0.047854121966408696,0.04319510374370378,0.041980678415110675,0.04172779873503613,0.04988496404330105,0.033841279322986834,0.03543796398935514,0.025421733435610216,0.021540337632258686,0.022021689006620434
0.08133606183110696,0.14768780706907214,0.11006795073662148,0.1653453758149075,0.12206123073596917,0.16642940734634853,0.2818301642366167,0.3034336610795629,0.30335016720128893,0.139697810340261,0.14679250410468675,0.1494367813721879,0.1090593575667124,0.11280318536966327,0.11360110860249291
0.011504015176353612,0.028225785228665583,0.008364295643449789,0.02530435423947501,0.005078998056883113,0.02596988035598594,0.028900422654105907,0.02567767616952855,0.026735694206870914,0.02704474647211117,0.02513400936045815,0.025797458060429875,0.009155779594621032,0.009117899899158701,0.009072157916972232
0.004177618440125417,0.009748300117097868,0.006959555269336937,0.009748300117097868,0.010781485794066507,0.009748300117097868,0.012975214916797683,0.009831112749349441,0.036929209472913074,0.018872509469186834,0.010319224327524409,0.02100449384717462,0.017462847344645364,0.017462847344645364,0.017462847344645364
0.16609568336497832,0.21634794739506738,0.23361894740965072,0.20598500062461678,0.27361471608360743,0.19795383100556013,0.21660706488082634,0.2065663899850088,0.1987791970991118,0.21315212796504268,0.20586168290235698,0.21258280832592655,0.2664097547637379,0.26746853826754946,0.2681760333953819
0.3587007351620973,0.308886794129195,0.2601914177950287,0.308886794129195,0.22113478262506694,0.30706698065203886,0.3002002218022934,0.30421876674464,0.29515946224663797,0.2902322923790546,0.307581519145241,0.27274652178449776,0.23951578848476243,0.2948768596424685,0.25365184720163114
4.424520691339299e-09,0.008071797157840328,0.001200151105955933,0.008071797157840328,0.002710345920203111,0.008071797157840328,0.009371995280558189,0.009371995280558189,0.009371995280558189,0.009110070077873457,0.009110070077873457,0.009110070077873457,0.004763719201722806,0.004369220810198907,0.005554954106699148
0.05798695614232423,0.11779595142444543,0.06780504250241026,0.0929284227459723,0.08331957453693807,0.09342973993819419,0.08905698045331803,0.0867797746615731,0.10195205313478656,0.1171791614409478,0.08927122127539128,0.09307574621712118,0.08147207339353496,0.07466090087880904,0.09424302009058501
0.08998374575329127,0.01912562775081601,0.05536259706466276,0.01912562775081601,0.03938486027083709,0.05261750963268693,0.033720238449291284,0.033720238449291284,0.033720238449291284,0.018657363270367596,0.018657363270367596,0.018657363270367596,0.030300690204218217,0.030300690204218217,0.030300690204218217
0.6384662655610347,0.9118586435596772,0.7019234819108399,0.9670923544525534,0.7145527676261474,0.9469758351414662,0.801350330696288,0.801350330696288,0.801350330696288,0.9425890686988,0.9425890686988,0.9425890686988,0.8107729836758476,0.8107729836758476,0.8107729836758476
0.00952513442887552,0.015977254541937144,0.0067145037784255785,0.015977254541937144,0.008529214330176015,0.015977254541937144,0.002096927585321586,0.004712019999569257,0.0030299148768800775,0.017427059253597436,0.017427059253597436,0.017427059253597436,0.021388793481379825,0.00876382579864716,0.015865124514568618
0.9745021924856211,0.6592801782428838,0.6539014098286079,0.6732657681074327,0.6341503824722278,0.7069925215118217,0.7518036893205206,0.6021936490049853,0.6021936490049853,0.6487125413247812,0.6211700757224358,0.5860092030304632,0.7125415792391891,0.5909219153385057,0.5909219153385057
1.0000039282709765,1.1597729037664686,1.0983947829523029,1.1597729037664686,1.0719099938061543,1.1597729037664686,1.1469572169910043,1.1469572169910043,1.1469572169910043,1.1749970578071305,1.1749970578071305,1.1749970578071305,1.1700516197431157,1.1700516197431157,1.1700516197431157
2.5586743203075915,2.2012412543475945,2.4569461767694705,2.2012412543475945,2.301785210262778,2.2012412543475945,2.118802532649744,2.118802532649744,2.118802532649744,2.228427241749836,2.228427241749836,2.228427241749836,2.3136608028635193,2.3136608028635193,2.302493967707677
