oos_period,full_gcsr_eigenvector,full_gcsr_v2_eigenvector,full_gcsr_pagerank,full_gcsr_v2_pagerank,full_gcsr_softmax,full_gcsr_v2_softmax,graph_only_eigenvector,graph_only_v2_eigenvector,graph_only_pagerank,graph_only_v2_pagerank,graph_only_softmax,graph_only_v2_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best,equal
20,0.2605488418346187,0.24430181436593634,0.25973362994506877,0.254791660615187,0.26581685967460505,0.26341236967762344,0.2456110726639001,0.19342313830873825,0.249869878929375,0.22786607967719744,0.2642594458508728,0.2523033892107268,0.15999999999999887,0.15999999999999887,0.318365971677575,0.20250000000787627,0.15999999999999887,0.27324380165289325
21,0.08406432479313719,0.0776700012318774,0.07622471434843095,0.08138792512032848,0.08779587659291914,0.0863120494685459,0.06005344970870178,0.04344204897453887,0.044016677484207026,0.05753180790784443,0.0809562487563008,0.07092693691870232,0.0735012345679011,0.040000000000000424,0.18593534197276892,0.07350123457257926,0.02454444444444377,0.08293236404448515
22,0.01625002558425973,0.01624860453793356,0.01693102355027208,0.01688907592884964,0.017509142598050562,0.017498478328707885,0.006285013690583144,0.006301071450448832,0.010797958649257009,0.009643191316404192,0.01498234344476421,0.01265942486074713,0.009999999999999929,0.009999999999999929,0.040000000003359876,0.024371729616649455,0.039999999999999716,0.016321500281781212
23,0.10709688048705149,0.11628593717400808,0.11093187531643706,0.11261582174735726,0.11110181312232076,0.11178859896959598,0.09646999512333498,0.17647660203591053,0.12117144152995475,0.1414743453705975,0.13633287631405205,0.13906754201655888,0.09000000000000043,0.09000000000000043,0.11899391040115243,0.14355125120751439,0.040000000000000424,0.13892561983471097
24,0.00021812031498973138,0.0007935652516250853,0.0004900728330214453,0.0008508726555893515,0.0010403025871391196,0.001048275073613764,0.0029809109474579916,0.00040591291011795157,0.0014315715420663271,0.00034146842041285735,0.0011374732429492275,0.0008608580988116526,0.009999999999999929,0.0,0.003212675103970869,0.0032853566280664145,0.009999999999999929,0.0020661157024792947
25,1.8890138507715896e-07,0.010000000001500062,1.8890138507715896e-07,0.0008109931320995746,0.00015860273335705137,0.0004922992872844499,0.0013164957837798923,0.003109557181360233,0.0004179627134493332,0.005058130276227747,6.89641449397242e-05,0.00021408959470790994,0.022500000000000107,0.022500000000000107,0.004152172794972757,0.04000000000295948,0.010000000000000106,2.0661157024804252e-05
26,0.010002985821609056,1.4151684655323926e-05,0.010002985821609056,0.0025595987925152593,0.00914560560362021,0.010002985821609056,0.0053186236093916,0.002925099332357599,0.005436404838028705,0.004918354080037194,0.006531716565418757,0.003073514021712793,0.009999999999999929,0.0,0.0099999999984799,0.009999999998479545,0.0899999999999999,0.006694214876033089
27,0.03999999999699945,0.007696727908827547,0.02296528538131247,0.005050442758830056,0.00599730263973613,0.0014817708016957344,0.030957022321623166,1.3104525170403186e-05,0.008319399194916833,0.0013018519648300589,0.005178817236399998,0.0009019333772161939,0.04000000000000007,0.04000000000000007,0.008099999998669678,0.04000000000284011,0.04000000000000007,0.005157851239669353
28,0.0033269742659259695,0.08222229917098826,0.0006020535002216889,0.0077607898191545,0.009466605929205257,0.0077607898191545,0.0070729552889881725,0.036454076962621845,0.007937566176882191,0.016118605952426656,0.007992204635594382,0.00942529005751601,0.009999999999999929,0.0899999999999999,0.15737669184892192,0.010000000001400054,0.039999999999999716,0.007581308029792802
29,0.1529271771447601,0.15266642340002096,0.15266642340002096,0.20534366426537234,0.15189296054735038,0.15266642340002096,0.1446331452024524,0.19867305628009985,0.13624550810015298,0.16141730182296551,0.1382804047850251,0.14116780753242894,0.20250000000000015,0.12542242633378584,0.2500000000067013,0.11753838720565625,0.8100000000000006,0.13848237464528712
30,0.2361259876213795,0.21803082815533498,0.10566301843921923,0.2870401405579333,0.2436868129943505,0.21803082815533498,0.2390108723242234,0.3045764631992998,0.1726080092792512,0.27379515188962755,0.22468863900061578,0.21923275542245582,0.009999999999999929,0.23594017445144808,0.2500000000067999,0.1403823328607707,0.009999999999999929,0.21798175039443302
31,0.10517994460409533,0.2759648702940842,0.06882958817444117,0.2759648702940842,0.07945692622677976,0.2759648702940842,0.10604626788687364,0.5115259816823361,0.2337566453782204,0.4354511447675894,0.30439733751504466,0.34261241643953966,0.0899999999999999,0.8100000000000006,0.09000000000444007,0.6472418168068704,0.0899999999999999,0.32649631590920647
32,1.5645936138766483,1.8726419679102677,1.5754985921001503,1.5790293154304536,1.317630913001469,1.8726419679102677,1.8970606434176154,2.4635564264185534,1.9960443748415766,1.90330943828831,1.824262279870003,2.542323196476751,0.809999999999999,1.6899999999999973,1.845379363951911,1.0000000000154152,1.6899999999999973,2.089338842975201
33,1.9703293700355244,2.013383769955732,1.9980737808434585,2.013383769955732,2.012266729263586,2.013383769955732,2.0455103499625484,2.6369249528035046,2.3148871217762714,2.5438015788424404,2.119598051528993,2.535313038201038,2.2499999999999973,2.8899999999999975,2.0957864370352692,1.9600000000218385,1.0924335528172646,2.4669414444621185
34,1.0000000000172022,1.6002814058333044,1.6059212441230828,1.5950646406214692,1.0000000000172022,1.596947145274236,1.5021522729762835,2.0779565466264547,2.2748100980564736,2.1249560984634916,2.085017132563982,2.403749578689399,1.960000000000001,1.6899999999999973,1.1307522649155664,2.2500000000243006,1.0,2.4565933334274823
35,0.03999999999600007,0.04505247080313275,0.03999999999600007,0.03999999999599865,0.03999999999600007,0.02699349713369992,0.03037004423882078,0.07662048064081037,0.12895952585499706,0.1188838292114733,0.03666382606935093,0.20960910836226626,0.039999999999999716,0.15999999999999887,0.03999999999599794,1.7228433313621427,0.039999999999999716,0.343378836501182
36,0.22364736712713237,0.8099999999801989,0.2491076454391851,0.8099999999802052,0.7317330701186722,0.24912753350533076,0.02199794792356116,0.42109790081292353,0.022527511595227725,0.20826067588207506,0.10002945288829432,0.49492387572822144,0.16000000000000028,0.8100000000000006,0.5487946322346107,0.15999999999161305,0.8100000000000006,0.03575245130573161
37,0.6192604856425834,0.7267713405428293,0.6192604856425834,0.5070711669666353,0.6192604856425834,0.4982340955288425,0.016816486396327057,0.33056123615170974,0.2452474346001096,0.24545377172841393,0.32425662517258985,0.4361048504996442,0.0,0.002500000000000071,0.6441647916631622,0.5144801652735965,1.960000000000001,0.5144801652892581
38,0.43895496261257866,0.37186000873594255,0.43895496261257866,0.4978274709445664,0.43895496261257866,0.43895496261257866,0.06646831422998793,0.28060144710391766,0.1796013701470363,0.5521679893423592,0.14485037704379386,0.32328906047114386,0.09000000000000043,0.09000000000000043,0.31041100414522715,0.0899999999938187,2.5599999999999987,0.47698489042413367
39,0.2714551345118589,0.2714551345118589,0.2714551345118589,0.5411217320441624,0.2714551345118589,0.2714551345118589,0.24822885099633896,0.38195301132969445,0.23972809785585772,0.40824716813033624,0.2009265343992818,0.35747080950222215,0.25,0.16000000000000028,0.2905983545218803,0.12008643047332467,0.16000000000000028,0.303851506198349
40,0.4321956552768625,0.6812707564984648,0.4321956552768625,0.8099999999805634,0.4321956552768625,0.4321956552768625,0.16329304242181508,0.7460909787333109,0.25062089538227644,0.3612708433957917,0.23133009625660605,0.2654393390271044,0.0,0.8100000000000006,0.7959581904673315,0.5433945674029307,0.8100000000000006,0.3149199314256197
41,0.1174568456609037,0.1174568456609037,0.1174568456609037,0.3540522979449174,0.1174568456609037,0.1174568456609037,0.26616089788963465,0.00651000324068709,0.10452491508279724,0.10027200934080982,0.10446779056821205,0.07903215505060997,0.6399999999999983,0.009999999999999929,0.14344708625197428,0.010000000001959962,0.009999999999999929,0.12668422347107464
42,0.02866060669179181,0.02866060669179181,0.02866060669179181,0.02866060669179181,0.02866060669179181,0.02866060669179181,0.0007396716388582378,0.0019812888310818035,0.0015914373437014284,0.0002677307828455884,0.0012748400615008764,0.0025383601781221294,0.0,0.02205225000000009,0.1096014990210724,2.605743539235106e-05,0.02205225000000009,2.1919421487593374e-05
