oos_period,full_gcsr_eigenvector,full_gcsr_v2_eigenvector,full_gcsr_pagerank,full_gcsr_v2_pagerank,full_gcsr_softmax,full_gcsr_v2_softmax,graph_only_eigenvector,graph_only_v2_eigenvector,graph_only_pagerank,graph_only_v2_pagerank,graph_only_softmax,graph_only_v2_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best
20,-0.012694959818274565,-0.028941987286956905,-0.013510171707824481,-0.01845214103770626,-0.007426941978288193,-0.009831431975269811,-0.02763272898899316,-0.079820663344155,-0.023373922723518237,-0.04537772197569581,-0.00898435580202045,-0.020940412442166434,-0.11324380165289438,-0.11324380165289438,0.045122170024681774,-0.07074380164501698,-0.11324380165289438
21,0.0011319607486520444,-0.0052623628126077515,-0.0067076496960541965,-0.001544438924156663,0.004863512548433993,0.003379685424060752,-0.022878914335783367,-0.039490315069946276,-0.03891568656027812,-0.025400556136640717,-0.001976115288184352,-0.012005427125782828,-0.009431129476584046,-0.04293236404448472,0.10300297792828378,-0.009431129471905886,-0.058387919600041374
22,-7.147469752148347e-05,-7.289574384765352e-05,0.0006095232684908691,0.0005675756470684273,0.0011876423162693502,0.001176978046926673,-0.010036486591198067,-0.01002042883133238,-0.005523541632524203,-0.0066783089653770205,-0.001339156837017002,-0.0036620754210340816,-0.006321500281781283,-0.006321500281781283,0.023678499721578664,0.008050229334868243,0.023678499718218504
23,-0.03182873934765948,-0.02263968266070289,-0.02799374451827391,-0.026309798087353703,-0.02782380671239021,-0.02713702086511499,-0.04245562471137598,0.03755098220119957,-0.017754178304756216,0.0025487255358865313,-0.0025927435206589133,0.00014192218184791439,-0.04892561983471054,-0.04892561983471054,-0.019931709433558542,0.004625631372803418,-0.09892561983471054
24,-0.0018479953874895633,-0.0012725504508542093,-0.0015760428694578494,-0.0012152430468899433,-0.0010258131153401751,-0.0010178406288655307,0.000914795244978697,-0.0016602027923613431,-0.0006345441604129675,-0.0017246472820664372,-0.0009286424595300671,-0.001205257603667642,0.007933884297520635,-0.0020661157024792947,0.0011465594014915745,0.0012192409255871199,0.007933884297520635
25,-2.0472255639727092e-05,0.009979338844475258,-2.0472255639727092e-05,0.0007903319750747704,0.0001379415763322471,0.00047163813025964565,0.001295834626755088,0.003088896024335429,0.000397301556424529,0.005037469119202943,4.8302987914919954e-05,0.00019342843768310568,0.022479338842975302,0.022479338842975302,0.004131511637947952,0.03997933884593468,0.009979338842975301
26,0.0033087709455759664,-0.006680063191377765,0.0033087709455759664,-0.0041346160835178305,0.002451390727587121,0.0033087709455759664,-0.001375591266641489,-0.0037691155436754904,-0.0012578100380043842,-0.0017758607959958957,-0.0001624983106143325,-0.0036207008543202965,0.0033057851239668397,-0.006694214876033089,0.003305785122446811,0.003305785122446455,0.08330578512396682
27,0.0348421487573301,0.002538876669158194,0.017807434141643118,-0.00010740848083929701,0.0008394514000667772,-0.0036760804379736183,0.025799171081953814,-0.005144746714498949,0.00316154795524748,-0.003855999274839294,2.096599673064546e-05,-0.004255917862453159,0.03484214876033072,0.03484214876033072,0.0029421487590003256,0.03484214876317076,0.03484214876033072
28,-0.0042543337638668325,0.07464099114119546,-0.006979254529571113,0.00017948178936169797,0.0018852978994124553,0.00017948178936169797,-0.0005083527408046296,0.028872768932829043,0.0003562581470893892,0.008537297922633854,0.0004108966058015799,0.0018439820277232084,0.002418691970207127,0.0824186919702071,0.1497953838191291,0.002418691971607252,0.032418691970206914
29,0.01444480249947297,0.014184048754733836,0.014184048754733836,0.06686128962008522,0.01341058590206326,0.014184048754733836,0.006150770557165286,0.060190681634812726,-0.0022368665451341363,0.022934927177678394,-0.00020196986026202457,0.00268543288714182,0.06401762535471303,-0.013059948311501285,0.11151762536141419,-0.02094398743963087,0.6715176253547135
