Method,Mean_Loss,Median_Loss,Std_Loss,Total_Loss,Rel_MSFE
graph_only_v2_softmax,0.5834641884948343,0.22460749719090017,0.7987130039929455,116.69283769896685,0.9240704524249141
graph_only_v2_pagerank,0.6096953282904045,0.2585274495975741,0.8184877759581601,121.93906565808089,0.9656144266678652
graph_only_pagerank,0.6166828240092213,0.3016015624384718,0.7999202904584943,123.33656480184426,0.9766809813211356
equal,0.6314066064582018,0.2376693180799025,0.8573717388617047,126.28132129164037,0.9999999999984163
full_gcsr_v2_eigenvector,0.6321228232960873,0.3122069412527746,0.8264151655735554,126.42456465921745,1.0011343195170255
var_error,0.6326253367130874,0.29319710790898645,0.79767027083032,126.52506734261749,1.0019301829303309
full_gcsr_v2_softmax,0.6334396015277705,0.296445454944264,0.8267772014828298,126.6879203055541,1.0032197874519706
full_gcsr_pagerank,0.6336144486822061,0.3019874954963627,0.8264109416644051,126.7228897364412,1.0034967043429992
full_gcsr_v2_pagerank,0.6338576917909375,0.2977062671800041,0.8277712656583364,126.77153835818751,1.0038819443868048
full_gcsr_softmax,0.6344202673659006,0.2991897460891886,0.8281436736354306,126.88405347318012,1.0047729321737682
full_gcsr_eigenvector,0.6347917249876227,0.32355121119282804,0.8257644347088539,126.95834499752453,1.0053612339398916
graph_only_softmax,0.6441173648616112,0.228687543627457,0.911699673533818,128.82347297232224,1.0201308606409565
bates_granger_mv,0.6488355152695963,0.2960996916371873,0.8332206549917677,129.76710305391924,1.0276033044825619
graph_only_eigenvector,0.9772216857340578,0.4741734098687328,1.4081429461830508,195.44433714681156,1.5476899920545901
graph_only_v2_eigenvector,1.0179778636913588,0.538567933555459,1.3696791379067632,203.59557273827176,1.6122382206292851
rs_selection_v2,1.207227541013578,0.5206556321882577,1.5643145005373085,241.4455082027156,1.9119653305236406
recent_best,1.2788244679025595,0.5268934385546877,1.7205670197744747,255.7648935805119,2.0253580732611334
rs_selection,1.3899555676081092,0.7104482923087978,1.7404270361460972,277.99111352162186,2.201363674990184
