method,oos_period,model,weight
full_gcsr_eigenvector,150,model_1,0.07111824641058029
full_gcsr_eigenvector,150,model_2,0.14946858587205242
full_gcsr_eigenvector,150,model_3,0.3262417336281788
full_gcsr_eigenvector,150,model_4,0.0
full_gcsr_eigenvector,150,model_5,0.11699647526283731
full_gcsr_eigenvector,150,model_6,0.11185966964568908
full_gcsr_eigenvector,150,model_7,0.004408836260874064
full_gcsr_eigenvector,150,model_8,0.21990645291878794
full_gcsr_eigenvector,151,model_1,0.07962588967520176
full_gcsr_eigenvector,151,model_2,0.2810873284255751
full_gcsr_eigenvector,151,model_3,0.13763543107786488
full_gcsr_eigenvector,151,model_4,0.025578827972725645
full_gcsr_eigenvector,151,model_5,0.09728892759963269
full_gcsr_eigenvector,151,model_6,0.16040255960552027
full_gcsr_eigenvector,151,model_7,0.0
full_gcsr_eigenvector,151,model_8,0.21838103564247965
full_gcsr_eigenvector,152,model_1,0.09016053728104519
full_gcsr_eigenvector,152,model_2,0.1789693775759758
full_gcsr_eigenvector,152,model_3,0.14636860654891137
full_gcsr_eigenvector,152,model_4,0.03738031544668445
full_gcsr_eigenvector,152,model_5,0.14627417188567549
full_gcsr_eigenvector,152,model_6,0.11495457508465175
full_gcsr_eigenvector,152,model_7,0.04099041392109571
full_gcsr_eigenvector,152,model_8,0.24490200225496017
full_gcsr_eigenvector,153,model_1,0.07421540306589955
full_gcsr_eigenvector,153,model_2,0.15771119178184653
full_gcsr_eigenvector,153,model_3,0.14273297204934923
full_gcsr_eigenvector,153,model_4,0.03549327554154022
full_gcsr_eigenvector,153,model_5,0.15077282451668125
full_gcsr_eigenvector,153,model_6,0.12461084845656491
full_gcsr_eigenvector,153,model_7,0.03920636042145015
full_gcsr_eigenvector,153,model_8,0.27525712416566805
full_gcsr_eigenvector,154,model_1,0.048086575308663254
full_gcsr_eigenvector,154,model_2,0.1402329587643228
full_gcsr_eigenvector,154,model_3,0.10275810656930195
full_gcsr_eigenvector,154,model_4,0.02028754571339678
full_gcsr_eigenvector,154,model_5,0.14998666367357996
full_gcsr_eigenvector,154,model_6,0.18512692359549482
full_gcsr_eigenvector,154,model_7,0.040160851316095994
full_gcsr_eigenvector,154,model_8,0.3133603750581444
full_gcsr_eigenvector,155,model_1,0.06788620852452561
full_gcsr_eigenvector,155,model_2,0.17435670709090414
full_gcsr_eigenvector,155,model_3,0.09642874802158019
full_gcsr_eigenvector,155,model_4,0.07035302874709881
full_gcsr_eigenvector,155,model_5,0.16462135249153229
full_gcsr_eigenvector,155,model_6,0.1397610518643304
full_gcsr_eigenvector,155,model_7,0.048065842937478086
