TARGET_PERIOD,period_dt,actual,full_gcsr_eigenvector,full_gcsr_pagerank,full_gcsr_softmax,graph_only_eigenvector,graph_only_pagerank,graph_only_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best,equal
2016-06-01,2016-06-01,0.1,0.7690390856249323,0.801814452422699,0.7869302293807636,0.701300804899163,0.9908017868239789,0.8252189505827722,0.7,0.7,0.6999999999993,0.8470148988602294,0.7,1.167796610175
2016-09-01,2016-09-01,0.4,0.7490529939688261,0.7715639403708814,0.7588276079702246,0.700054619385088,1.0715283863687102,0.887569535731984,0.7,0.7,0.6999999999993001,0.6999999999993006,0.7,1.2499500000000001
2016-12-01,2016-12-01,1.1,1.2832924868085531,1.222818874102482,1.1969804708451146,1.809402074931956,1.4938917966485554,1.3645694750566415,1.81,1.0,0.999999999999,0.999999999999,1.0,1.4024999999999999
2017-03-01,2017-03-01,1.5,0.973429111883163,1.0390411398895072,0.9880435815332815,0.8022791236117355,1.2544816713100249,0.8833435992519384,0.8,0.8,0.7999999999992,1.213234897129525,0.8,1.524175
2017-06-01,2017-06-01,1.3,1.0765939162964382,1.0987394091976297,1.0954937505871056,1.0001436794888172,1.1064371146584864,1.1003285338843367,1.0,1.1,1.0845598874828837,1.0398046093981028,1.1,1.163526763625
2017-09-01,2017-09-01,1.6,1.1774252861636556,1.1774252861636556,1.1774252861636556,1.4999155871661463,1.3568766622565076,1.3020587982780238,1.4068892105,1.0,1.1610594840646542,1.3054694988135067,1.0,1.276722302625
2017-12-01,2017-12-01,1.3,1.452192159255448,1.452192159255448,1.452192159255448,1.4082525189254844,1.4045186414119006,1.394573104372515,1.4072162135,1.5,1.4426000486138069,1.4587415460536586,1.5,1.376804053375
2018-03-01,2018-03-01,1.4,1.3098977520291826,1.3056266413339968,1.2786459758635256,1.346456919318527,1.292907984427767,1.2774810216003178,1.3566642612,1.2,1.3041987941073852,1.1706562845377297,1.2,1.281161382875
2018-06-01,2018-06-01,2.0,1.535173646643091,1.5176641638255908,1.5231787113860316,1.4999243297223466,1.4835803410779114,1.4738177508692798,1.5,1.5,1.5634543646662296,1.456107148422994,1.5,1.4689931362250002
2018-09-01,2018-09-01,2.1,1.5604182368459567,1.5604182368459567,1.548248263826133,1.500208944497286,1.5949084974125851,1.6338490025146164,1.5,1.6,1.5405031956007313,1.5703437623517789,1.6,1.63505314235
